Node_i ,Node_j ,"A[i,j]" ,"A[j,i]" ,Diff                   ,Direction
    11 ,    17 ,  0.0259 ,  0.5167 ,0.49080000000000007    ,17->11
    35 ,    37 ,  0.305  ,  0.791  ,0.48600000000000004    ,37->35
    12 ,    17 ,  0.0975 ,  0.5748 ,0.47729999999999995    ,17->12
    39 ,    42 ,  0.0773 ,  0.5465 ,0.4692                 ,42->39
    13 ,    17 ,  0.0527 ,  0.5102 ,0.4575                 ,17->13
    10 ,    17 ,  0.0277 ,  0.4851 ,0.4574                 ,17->10
    36 ,    42 ,  0.0695 ,  0.5262 ,0.4567                 ,42->36
    35 ,    42 ,  0.0507 ,  0.4755 ,0.42479999999999996    ,42->35
    36 ,    47 ,  0.0687 ,  0.4914 ,0.4227                 ,47->36
    14 ,    17 ,  0.0398 ,  0.4611 ,0.4213                 ,17->14
    10 ,    38 ,  0.1213 ,  0.5414 ,0.4201                 ,38->10
    35 ,    47 ,  0.0736 ,  0.4878 ,0.4142                 ,47->35
    32 ,    36 ,  0.4672 ,  0.0612 ,0.406                  ,32->36
    38 ,    42 ,  0.1027 ,  0.5025 ,0.39979999999999993    ,42->38
    32 ,    35 ,  0.449  ,  0.0513 ,0.3977                 ,32->35
     7 ,    10 ,  0.5355 ,  0.1442 ,0.3913                 ,7->10
    32 ,    39 ,  0.4603 ,  0.0719 ,0.38839999999999997    ,32->39
    39 ,    47 ,  0.0778 ,  0.4595 ,0.38170000000000004    ,47->39
    39 ,    43 ,  0.0671 ,  0.4461 ,0.379                  ,43->39
     7 ,    11 ,  0.5574 ,  0.1797 ,0.37770000000000004    ,7->11
    10 ,    36 ,  0.2531 ,  0.6231 ,0.37                   ,36->10
    10 ,    12 ,  0.4313 ,  0.7988 ,0.36749999999999994    ,12->10
    11 ,    38 ,  0.1371 ,  0.4998 ,0.3627                 ,38->11
    32 ,    38 ,  0.4749 ,  0.1183 ,0.3566                 ,32->38
    11 ,    37 ,  0.051  ,  0.4063 ,0.3553                 ,37->11
     6 ,    10 ,  0.6174 ,  0.2622 ,0.35519999999999996    ,6->10
    35 ,    48 ,  0.0589 ,  0.4129 ,0.354                  ,48->35
     2 ,    11 ,  0.4194 ,  0.0698 ,0.3496                 ,2->11
     7 ,    14 ,  0.5927 ,  0.2466 ,0.34609999999999996    ,7->14
    35 ,    38 ,  0.4498 ,  0.7947 ,0.3449                 ,38->35
    36 ,    48 ,  0.0519 ,  0.3961 ,0.3442                 ,48->36
    10 ,    37 ,  0.0503 ,  0.3932 ,0.3429                 ,37->10
    13 ,    35 ,  0.6677 ,  0.3325 ,0.33519999999999994    ,13->35
     2 ,    10 ,  0.4006 ,  0.0657 ,0.33490000000000003    ,2->10
    36 ,    43 ,  0.071  ,  0.4041 ,0.3331                 ,43->36
