epoch,effective_rank,mean_cosine_sim,dead_dims_ratio,feature_std_mean,inter_subject_var,encoder_weight_norm
5,15.114534,0.999715,0.000000,0.015527,0.000270,3.348474
10,15.148856,0.999719,0.000000,0.015419,0.000266,3.348408
15,15.180855,0.999723,0.000000,0.015320,0.000263,3.348261
20,15.224175,0.999727,0.000000,0.015205,0.000259,3.348099
25,15.263998,0.999731,0.000000,0.015091,0.000255,3.347919
30,15.307747,0.999735,0.000000,0.014986,0.000251,3.347713
35,15.358843,0.999739,0.000000,0.014864,0.000247,3.347496
40,15.410018,0.999744,0.000000,0.014745,0.000243,3.347249
45,15.459483,0.999748,0.000000,0.014621,0.000238,3.347017
50,15.517689,0.999753,0.000000,0.014492,0.000234,3.346769
55,15.574327,0.999758,0.000000,0.014363,0.000229,3.346501
60,15.632827,0.999763,0.000000,0.014226,0.000224,3.346203
65,15.700209,0.999768,0.000000,0.014079,0.000219,3.345894
70,15.770028,0.999774,0.000000,0.013928,0.000214,3.345567
75,15.843589,0.999779,0.000000,0.013769,0.000209,3.345215
80,15.922825,0.999785,0.000000,0.013604,0.000203,3.344834
85,16.004694,0.999791,0.000000,0.013431,0.000198,3.344434
90,16.092661,0.999797,0.000000,0.013252,0.000192,3.343999
95,16.187777,0.999803,0.000000,0.013062,0.000186,3.343538
100,16.285151,0.999810,0.000000,0.012869,0.000180,3.343057
