epoch,loss
1,0.035565768730884885
2,3.8815526295366e-05
3,1.794390660506906e-05
4,1.0624002234180807e-05
5,1.0151536371267866e-05
6,7.545562807536044e-06
7,4.8766534337119085e-06
8,4.928985698597899e-06
9,3.3407492003334483e-06
10,3.169562643279278e-06
11,2.58138200592839e-06
12,2.613513292999414e-06
13,2.643589562296711e-06
14,2.2036475712639e-06
15,1.930334822191071e-06
16,2.6839675535939022e-06
17,1.923223443327515e-06
18,1.4521753359986178e-06
19,1.4677682514729894e-06
20,1.3113255511143506e-06
21,1.2368088721359528e-06
22,1.0913734396922336e-06
23,1.1607125310320043e-06
24,9.422482759191553e-07
25,9.947946429633702e-07
26,8.644492618259392e-07
27,7.231989695810626e-07
28,9.111793843885607e-07
29,7.270299002470893e-07
30,8.045630590913788e-07
31,7.078772139834655e-07
32,7.4453200966218e-07
33,7.191599937073078e-07
34,5.637949675474375e-07
35,6.642344780516396e-07
36,5.256103636952503e-07
37,4.896000089615882e-07
38,5.180134505167188e-07
39,4.4408313186750093e-07
40,4.124580712527859e-07
41,3.843637625777774e-07
42,3.5874550491143964e-07
43,3.4997387359680943e-07
44,3.784972960829691e-07
45,3.661810875144056e-07
46,3.7364869839962014e-07
47,3.2686579288565553e-07
48,3.0172650539839196e-07
49,2.6727577733254294e-07
50,3.000312143797146e-07
51,3.0182003897039066e-07
52,2.782662222955423e-07
53,2.4141168324831597e-07
54,2.886205452057311e-07
55,2.3093109405181167e-07
56,2.7279690186787773e-07
57,2.534517349772614e-07
58,2.1542699442989034e-07
59,2.1574535423951603e-07
60,2.0805990018857302e-07
61,2.0524789988485283e-07
62,2.27856745311783e-07
63,1.8927373417909622e-07
64,1.9367061739217207e-07
65,1.850031785011197e-07
66,1.7981123107801977e-07
67,1.8554217291466556e-07
68,1.677893348528414e-07
69,1.7419993469047768e-07
70,1.667648243142139e-07
71,1.745346094139677e-07
72,1.6053565403240099e-07
73,1.5600951513761174e-07
74,1.4555341692812363e-07
75,1.521374858270974e-07
76,1.4009211724896885e-07
77,1.455424856544596e-07
78,1.4304565326028751e-07
79,1.4235337388868175e-07
80,1.4241888294463933e-07
81,1.308645008180065e-07
82,1.2780812028267974e-07
83,1.2688479344546977e-07
84,1.2217540643177926e-07
85,1.290294596856256e-07
86,1.2337179640553587e-07
87,1.1674845460163396e-07
88,1.131426689937598e-07
89,1.1122894221671232e-07
90,1.1353259459667698e-07
91,1.1432993289872684e-07
92,1.0994466038027894e-07
93,1.1078634891248385e-07
94,1.0618128897021961e-07
95,1.0664870060850262e-07
96,1.0299041477423999e-07
97,1.0374520364564433e-07
98,9.908013581139131e-08
99,9.960507824757769e-08
100,9.646498078552667e-08
