"dataset","variant","baseline_status","candidate_status","baseline_run_dir","candidate_run_dir","baseline_best_proxy_score_primary_total","candidate_best_proxy_score_primary_total","delta_best_proxy_score_primary_total","baseline_exported_primary_strict_f1","candidate_exported_primary_strict_f1","delta_exported_primary_strict_f1","baseline_best_gt_primary_strict_f1","candidate_best_gt_primary_strict_f1","delta_best_gt_primary_strict_f1","baseline_exported_vs_best_gt_gap_primary_strict_f1","candidate_exported_vs_best_gt_gap_primary_strict_f1","delta_exported_gap_primary_strict_f1"
"fMRI","soft_support_patel_tau","ok","ok","D:\mockup\DDM-main\results\run_20260406_174606","D:\mockup\DDM-main\results\run_20260406_174615","0.05","0.05","0","0.533333","0.533333","0","0.533333","0.533333","0","0","0","0"
"fMRI","soft_support_lag_gain_zero_init","ok","ok","D:\mockup\DDM-main\results\run_20260406_174606","D:\mockup\DDM-main\results\run_20260406_174624","0.05","0.05","0","0.533333","0.533333","0","0.533333","0.533333","0","0","0","0"
"fMRI","soft_support_lag_gain","ok","ok","D:\mockup\DDM-main\results\run_20260406_174606","D:\mockup\DDM-main\results\run_20260406_174632","0.05","0.05","0","0.533333","0.533333","0","0.533333","0.533333","0","0","0","0"
"sim2","soft_support_patel_tau","ok","ok","D:\mockup\DDM-main\results\run_20260406_174641","D:\mockup\DDM-main\results\run_20260406_174652","0.041512","0.041512","0","0.285714","0.285714","0","0.285714","0.285714","0","0","0","0"
"sim2","soft_support_lag_gain_zero_init","ok","ok","D:\mockup\DDM-main\results\run_20260406_174641","D:\mockup\DDM-main\results\run_20260406_174702","0.041512","0.05","0.008488","0.285714","0.357143","0.071429","0.285714","0.357143","0.071429","0","0","0"
"sim2","soft_support_lag_gain","ok","ok","D:\mockup\DDM-main\results\run_20260406_174641","D:\mockup\DDM-main\results\run_20260406_174712","0.041512","0.05","0.008488","0.285714","0.357143","0.071429","0.285714","0.357143","0.071429","0","0","0"
"sim3","soft_support_patel_tau","ok","ok","D:\mockup\DDM-main\results\run_20260406_174723","D:\mockup\DDM-main\results\run_20260406_174735","0.015856","0.013757","-0.002099","0.211382","0.211382","0","0.211382","0.211382","0","0","0","0"
"sim3","soft_support_lag_gain_zero_init","ok","ok","D:\mockup\DDM-main\results\run_20260406_174723","D:\mockup\DDM-main\results\run_20260406_174747","0.015856","0.046","0.030144","0.211382","0.097561","-0.113821","0.211382","0.097561","-0.113821","0","0","0"
"sim3","soft_support_lag_gain","ok","ok","D:\mockup\DDM-main\results\run_20260406_174723","D:\mockup\DDM-main\results\run_20260406_174759","0.015856","0.046","0.030144","0.211382","0.097561","-0.113821","0.211382","0.097561","-0.113821","0","0","0"
"sim4","soft_support_patel_tau","ok","ok","D:\mockup\DDM-main\results\run_20260406_174811","D:\mockup\DDM-main\results\run_20260406_174840","0.025392","0.025392","0","0.068429","0.068429","0","0.068429","0.068429","0","0","0","0"
"sim4","soft_support_lag_gain_zero_init","ok","ok","D:\mockup\DDM-main\results\run_20260406_174811","D:\mockup\DDM-main\results\run_20260406_174909","0.025392","0.034","0.008608","0.068429","0.054432","-0.013997","0.068429","0.054432","-0.013997","0","0","0"
"sim4","soft_support_lag_gain","ok","ok","D:\mockup\DDM-main\results\run_20260406_174811","D:\mockup\DDM-main\results\run_20260406_174938","0.025392","0.034","0.008608","0.068429","0.054432","-0.013997","0.068429","0.054432","-0.013997","0","0","0"
