"batch_tag","dataset","csv_path","gt_path","variant","support_prior_algorithm","direction_prior_algorithm","direction_init_mode","run_dir","runtime_sec","device","epochs","subject_limit","time_limit","skip_pretrain","status","error_message","best_proxy_epoch","best_proxy_score_primary_total","best_proxy_skeleton_overlap","best_proxy_agreement","best_proxy_dir_margin","final_epoch","final_score_primary_total","final_skeleton_overlap","final_agreement","final_dir_margin","best_gt_epoch","best_gt_primary_strict_f1","exported_epoch","exported_primary_strict_f1","final_primary_strict_f1","exported_vs_best_gt_gap_primary_strict_f1","exported_failure_mode","final_failure_mode"
"20260406_174602","fMRI","D:\mockup\DDM-main\fMRI_dataset\fMRI.csv","D:\mockup\DDM-main\fMRI_dataset\h1.txt","baseline_patel","patel","patel","patel_tau","D:\mockup\DDM-main\results\run_20260406_174606","8.55","cuda","6","8","100","1","ok","","4","0.05","1","1","0.37973","6","0.05","1","1","0.381717","6","0.533333","6","0.533333","0.533333","0","mixed_or_partial","mixed_or_partial"
"20260406_174602","fMRI","D:\mockup\DDM-main\fMRI_dataset\fMRI.csv","D:\mockup\DDM-main\fMRI_dataset\h1.txt","soft_support_patel_tau","soft_patel","patel","patel_tau","D:\mockup\DDM-main\results\run_20260406_174615","8.99","cuda","6","8","100","1","ok","","4","0.05","1","1","0.37973","6","0.05","1","1","0.381717","6","0.533333","6","0.533333","0.533333","0","mixed_or_partial","mixed_or_partial"
"20260406_174602","fMRI","D:\mockup\DDM-main\fMRI_dataset\fMRI.csv","D:\mockup\DDM-main\fMRI_dataset\h1.txt","soft_support_lag_gain_zero_init","soft_patel","lag_gain","zeros","D:\mockup\DDM-main\results\run_20260406_174624","8.29","cuda","6","8","100","1","ok","","4","0.05","1","1","0.406613","6","0.05","1","1","0.40537","1","0.533333","6","0.533333","0.533333","0","mixed_or_partial","mixed_or_partial"
"20260406_174602","fMRI","D:\mockup\DDM-main\fMRI_dataset\fMRI.csv","D:\mockup\DDM-main\fMRI_dataset\h1.txt","soft_support_lag_gain","soft_patel","lag_gain","lag_gain","D:\mockup\DDM-main\results\run_20260406_174632","8.99","cuda","6","8","100","1","ok","","4","0.05","1","1","0.406613","6","0.05","1","1","0.40537","1","0.533333","6","0.533333","0.533333","0","mixed_or_partial","mixed_or_partial"
"20260406_174602","sim2","D:\mockup\DDM-main\fMRI_dataset\sim2.csv","D:\mockup\DDM-main\fMRI_dataset\h2.txt","baseline_patel","patel","patel","patel_tau","D:\mockup\DDM-main\results\run_20260406_174641","10.37","cuda","6","8","100","1","ok","","3","0.041512","1","0.818182","0.242605","6","0.040893","1","0.818182","0.242789","1","0.285714","6","0.285714","0.285714","0","mixed_or_partial","mixed_or_partial"
"20260406_174602","sim2","D:\mockup\DDM-main\fMRI_dataset\sim2.csv","D:\mockup\DDM-main\fMRI_dataset\h2.txt","soft_support_patel_tau","soft_patel","patel","patel_tau","D:\mockup\DDM-main\results\run_20260406_174652","10.11","cuda","6","8","100","1","ok","","3","0.041512","1","0.818182","0.242605","6","0.040893","1","0.818182","0.242789","1","0.285714","6","0.285714","0.285714","0","mixed_or_partial","mixed_or_partial"
"20260406_174602","sim2","D:\mockup\DDM-main\fMRI_dataset\sim2.csv","D:\mockup\DDM-main\fMRI_dataset\h2.txt","soft_support_lag_gain_zero_init","soft_patel","lag_gain","zeros","D:\mockup\DDM-main\results\run_20260406_174702","10.51","cuda","6","8","100","1","ok","","4","0.05","1","1","0.236688","6","0.05","1","1","0.236958","6","0.357143","6","0.357143","0.357143","0","mixed_or_partial","mixed_or_partial"
"20260406_174602","sim2","D:\mockup\DDM-main\fMRI_dataset\sim2.csv","D:\mockup\DDM-main\fMRI_dataset\h2.txt","soft_support_lag_gain","soft_patel","lag_gain","lag_gain","D:\mockup\DDM-main\results\run_20260406_174712","10.36","cuda","6","8","100","1","ok","","4","0.05","1","1","0.236688","6","0.05","1","1","0.236958","6","0.357143","6","0.357143","0.357143","0","mixed_or_partial","mixed_or_partial"
"20260406_174602","sim3","D:\mockup\DDM-main\fMRI_dataset\sim3.csv","D:\mockup\DDM-main\fMRI_dataset\h3.txt","baseline_patel","patel","patel","patel_tau","D:\mockup\DDM-main\results\run_20260406_174723","11.71","cuda","6","8","100","1","ok","","4","0.015856","0.7","0.575758","0.323507","6","0.015757","0.7","0.575758","0.318602","1","0.211382","6","0.211382","0.211382","0","mixed_or_partial","mixed_or_partial"
"20260406_174602","sim3","D:\mockup\DDM-main\fMRI_dataset\sim3.csv","D:\mockup\DDM-main\fMRI_dataset\h3.txt","soft_support_patel_tau","soft_patel","patel","patel_tau","D:\mockup\DDM-main\results\run_20260406_174735","12.18","cuda","6","8","100","1","ok","","5","0.013757","0.66","0.575758","0.3208","6","0.013757","0.66","0.575758","0.318638","1","0.211382","6","0.211382","0.211382","0","mixed_or_partial","mixed_or_partial"
"20260406_174602","sim3","D:\mockup\DDM-main\fMRI_dataset\sim3.csv","D:\mockup\DDM-main\fMRI_dataset\h3.txt","soft_support_lag_gain_zero_init","soft_patel","lag_gain","zeros","D:\mockup\DDM-main\results\run_20260406_174747","12.32","cuda","6","8","100","1","ok","","4","0.046","0.92","1","0.304818","6","0.045","0.9","1","0.300773","1","0.097561","6","0.097561","0.097561","0","wrong_direction_asymmetry","wrong_direction_asymmetry"
"20260406_174602","sim3","D:\mockup\DDM-main\fMRI_dataset\sim3.csv","D:\mockup\DDM-main\fMRI_dataset\h3.txt","soft_support_lag_gain","soft_patel","lag_gain","lag_gain","D:\mockup\DDM-main\results\run_20260406_174759","12.03","cuda","6","8","100","1","ok","","4","0.046","0.92","1","0.304818","6","0.045","0.9","1","0.300773","1","0.097561","6","0.097561","0.097561","0","wrong_direction_asymmetry","wrong_direction_asymmetry"
"20260406_174602","sim4","D:\mockup\DDM-main\fMRI_dataset\sim4.csv","D:\mockup\DDM-main\fMRI_dataset\h4.txt","baseline_patel","patel","patel","patel_tau","D:\mockup\DDM-main\results\run_20260406_174811","29.01","cuda","6","8","100","1","ok","","4","0.025392","0.56","0.96","0.372268","6","0.025392","0.56","0.96","0.35269","1","0.068429","6","0.068429","0.068429","0","wrong_direction_asymmetry","wrong_direction_asymmetry"
"20260406_174602","sim4","D:\mockup\DDM-main\fMRI_dataset\sim4.csv","D:\mockup\DDM-main\fMRI_dataset\h4.txt","soft_support_patel_tau","soft_patel","patel","patel_tau","D:\mockup\DDM-main\results\run_20260406_174840","29.07","cuda","6","8","100","1","ok","","4","0.025392","0.56","0.96","0.372303","6","0.025392","0.56","0.96","0.352797","1","0.068429","6","0.068429","0.068429","0","wrong_direction_asymmetry","wrong_direction_asymmetry"
"20260406_174602","sim4","D:\mockup\DDM-main\fMRI_dataset\sim4.csv","D:\mockup\DDM-main\fMRI_dataset\h4.txt","soft_support_lag_gain_zero_init","soft_patel","lag_gain","zeros","D:\mockup\DDM-main\results\run_20260406_174909","28.8","cuda","6","8","100","1","ok","","4","0.034","0.68","1","0.435755","6","0.034","0.68","1","0.41534","1","0.054432","6","0.054432","0.054432","0","weak_asymmetry","weak_asymmetry"
"20260406_174602","sim4","D:\mockup\DDM-main\fMRI_dataset\sim4.csv","D:\mockup\DDM-main\fMRI_dataset\h4.txt","soft_support_lag_gain","soft_patel","lag_gain","lag_gain","D:\mockup\DDM-main\results\run_20260406_174938","29.4","cuda","6","8","100","1","ok","","4","0.034","0.68","1","0.435752","6","0.034","0.68","1","0.415339","1","0.054432","6","0.054432","0.054432","0","weak_asymmetry","weak_asymmetry"
