epoch,score,selection_eligible,agreement,agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,global_asymmetry,asymmetry_score,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current
1,0.385343,0,0.000000,0.254098,0.000000,0.491803,0.058327,0.229166,0.000000,1.000000,0.000000,0.049796,0.002904,0.019361,30,61,0,before_selection_start,0.000000,0.500000,0.000000,0.004201,0.020410,4.858972,0.000000,0.193010,0.205827,0.079836,0.205561,2.348750,3.897116,0.000000,0.000000,0.000000,1.000000,500.000000,1.167251,1.167635,1.167435,0.000384,0.000184,1.000329,1.000157,0.021101,0.000000,0.207860,0.032795,0.175064,0.212247,0.036816,0.175431,0.175064,0.000367,1.000000,1,0.500000,0.020595,0.327200,0.205561,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.381833,0,0.000000,0.254098,0.000000,0.491803,0.052360,0.206429,0.000000,1.000000,0.000000,0.049796,0.002607,0.017380,30,61,0,before_selection_start,0.000000,0.500000,0.000000,0.003801,0.018570,4.885530,0.000000,0.182876,0.186248,0.072454,0.205374,2.346302,3.876147,0.000000,0.000000,0.000000,1.000000,500.000000,1.154251,1.153970,1.154036,-0.000280,-0.000215,0.999757,0.999814,0.021629,0.000000,0.207836,0.032611,0.175225,0.212542,0.036635,0.175907,0.175225,0.000682,1.000000,1,0.500000,0.020595,0.327200,0.205374,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.380237,0,0.000000,0.254098,0.000000,0.491803,0.049665,0.196086,0.000000,1.000000,0.000000,0.049796,0.002473,0.016486,30,61,0,before_selection_start,0.000000,0.500000,0.000000,0.003809,0.018634,4.891804,0.000000,0.180296,0.186650,0.068004,0.206491,2.353124,3.881435,0.000000,0.000000,0.000000,1.000000,500.000000,1.161909,1.161997,1.162401,0.000088,0.000492,1.000075,1.000424,0.021602,0.000000,0.208508,0.032751,0.175756,0.214327,0.036253,0.178073,0.175756,0.002317,1.000000,1,0.500000,0.020595,0.327200,0.206491,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.377222,0,0.000000,0.254098,0.000000,0.491803,0.044604,0.176547,0.000000,1.000000,0.000000,0.049796,0.002221,0.014806,30,61,0,before_selection_start,0.000000,0.500000,0.000000,0.003763,0.018390,4.886384,0.000000,0.168793,0.184411,0.059999,0.204877,2.339198,3.862123,0.000000,0.000000,0.000000,1.000000,500.000000,1.150213,1.148457,1.148343,-0.001756,-0.001870,0.998473,0.998374,0.021644,0.000000,0.209114,0.032947,0.176167,0.214623,0.035801,0.178823,0.176167,0.002656,1.000000,1,0.500000,0.020595,0.327200,0.204877,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.374795,0,0.000000,0.254098,0.000000,0.491803,0.040555,0.160811,0.000000,1.000000,0.000000,0.049796,0.002019,0.013462,30,61,0,before_selection_start,0.000000,0.500000,0.000000,0.003796,0.018555,4.887642,0.000000,0.176519,0.186020,0.057108,0.202734,2.320267,3.851923,0.000000,0.000000,0.000000,1.000000,500.000000,1.144442,1.144743,1.144863,0.000301,0.000422,1.000263,1.000368,0.021590,0.000000,0.208906,0.033296,0.175610,0.213089,0.035354,0.177734,0.175610,0.002124,1.000000,1,0.500000,0.020595,0.327200,0.202734,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.365555,1,0.000000,0.254098,0.000000,0.491803,0.025311,0.100900,0.000000,1.000000,0.000000,0.049796,0.001260,0.008402,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.500000,0.000000,0.003631,0.017627,4.855158,0.000000,0.163110,0.177896,0.040197,0.201326,2.310018,3.882549,0.000000,0.000000,0.000000,1.000000,500.000000,1.137917,1.138096,1.138310,0.000179,0.000394,1.000157,1.000346,0.021785,0.000000,0.209265,0.033492,0.175773,0.213067,0.034590,0.178477,0.175773,0.002704,1.000000,1,0.500000,0.020595,0.327200,0.201326,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.387179,1,1.000000,0.745902,0.000000,0.491803,0.061475,0.241061,0.000000,1.000000,0.000000,0.049796,0.003061,0.020405,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003808,0.021042,5.526311,0.000000,0.261963,0.186568,0.075625,0.181131,2.175151,3.794363,0.000000,0.000000,0.000000,1.000000,500.000000,1.139098,1.136374,1.138005,-0.002724,-0.001093,0.997609,0.999041,0.021641,0.000000,0.201934,0.034303,0.167631,0.205505,0.032325,0.173180,0.167631,0.005549,1.000000,1,0.500000,0.020595,0.327200,0.181131,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.406439,1,1.000000,0.745902,0.000000,0.491803,0.095851,0.365660,0.000000,1.000000,0.000000,0.049796,0.004773,0.031809,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003739,0.025105,6.713744,0.000000,0.365349,0.183226,0.118280,0.164750,2.057867,3.806248,0.000000,0.000000,0.000000,1.000000,500.000000,1.150805,1.150712,1.151008,-0.000093,0.000203,0.999919,1.000177,0.021943,0.000000,0.184622,0.033568,0.151054,0.201236,0.032088,0.169148,0.151054,0.018094,1.000000,1,0.500000,0.020595,0.327200,0.164750,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.405767,1,1.000000,0.745902,0.000000,0.491803,0.094600,0.361317,0.000000,1.000000,0.000000,0.049796,0.004711,0.031394,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003681,0.024527,6.662823,0.000000,0.360686,0.180375,0.118921,0.161010,2.022789,3.777261,0.000000,0.000000,0.000000,1.000000,500.000000,1.151697,1.152038,1.151807,0.000341,0.000110,1.000296,1.000095,0.022030,0.000000,0.180070,0.033285,0.146784,0.200264,0.031890,0.168373,0.146784,0.021589,1.000000,1,0.500000,0.020595,0.327200,0.161010,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.405525,1,1.000000,0.745902,0.000000,0.491803,0.094150,0.359751,0.000000,1.000000,0.000000,0.049796,0.004688,0.031245,30,61,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.003712,0.024503,6.600823,0.000000,0.453404,0.181894,0.120739,0.157630,1.988039,3.572948,0.000000,0.000000,0.000000,1.000000,500.000000,1.138023,1.136765,1.137210,-0.001257,-0.000813,0.998895,0.999286,0.021992,0.000000,0.177973,0.032881,0.145092,0.199240,0.031804,0.167436,0.145092,0.022344,1.000000,1,0.500000,0.020595,0.327200,0.157630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
