epoch,score,selection_eligible,agreement,agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,global_asymmetry,asymmetry_score,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,main_loss_weight,directional_loss_active,directional_loss_end_epoch,directional_loss_deactivated_from_epoch,dir_loss_raw,dir_loss_weighted,dir_lambda_current,direction_lr_multiplier,direction_lr_current,direction_branch_frozen,freeze_direction_after_epoch,direction_branch_frozen_from_epoch,cross_loss_raw,cross_loss_weighted,ortho_loss_raw,ortho_loss_weighted,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current,gradient_alignment_probe_enabled,gradient_alignment_probe_seed,grad_probe_available,grad_probe_lambda_dir,grad_probe_diff_norm,grad_probe_dir_norm_raw,grad_probe_dir_norm_weighted,grad_probe_dir_to_diff_norm_ratio,grad_probe_cosine,grad_probe_cosine_negative
1,0.469269,0,0.500000,0.500000,0.000000,0.400000,0.179755,0.616302,0.000000,1.000000,0.000000,0.500000,0.089877,0.536468,2,5,0,before_selection_start,0.000000,0.500000,0.000000,0.125975,0.145119,1.151968,0.000000,0.385291,0.503900,0.164351,0.482244,1.952132,1.999139,0.000000,0.000000,0.000000,1.000000,500.000000,1.278741,1.275506,1.279721,-0.003235,0.000979,0.997470,1.000766,0.136080,0.000000,0.145953,0.194207,-0.048254,0.171879,0.207184,-0.035306,-0.048254,0.012948,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,1.551550,0.000000,0.000000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.124269,0.000000,0.482244,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.463949,0,0.500000,0.500000,0.000000,0.400000,0.169174,0.589366,0.000000,1.000000,0.000000,0.500000,0.084587,0.510874,2,5,0,before_selection_start,0.000000,0.500000,0.000000,0.119478,0.137581,1.151514,0.000000,0.365801,0.477912,0.157004,0.482891,1.953862,1.999326,0.000000,0.000000,0.000000,1.000000,500.000000,1.300165,1.283860,1.290613,-0.016305,-0.009552,0.987459,0.992654,0.140616,0.000000,0.146063,0.194087,-0.048024,0.171739,0.207250,-0.035511,-0.048024,0.012513,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,1.554797,0.000000,0.000000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.122474,0.000000,0.482891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.459389,0,0.500000,0.500000,0.000000,0.400000,0.160483,0.566213,0.000000,1.000000,0.000000,0.500000,0.080241,0.489150,2,5,0,before_selection_start,0.000000,0.500000,0.000000,0.113996,0.131139,1.150379,0.000000,0.352197,0.455985,0.150262,0.483610,1.955714,1.999311,0.000000,0.000000,0.000000,1.000000,500.000000,1.289814,1.288804,1.290927,-0.001010,0.001112,0.999217,1.000862,0.144550,0.000000,0.146308,0.193961,-0.047653,0.171746,0.207284,-0.035539,-0.047653,0.012115,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,1.561761,0.000000,0.000000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.120209,0.000000,0.483610,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.454271,0,0.500000,0.500000,0.000000,0.400000,0.151091,0.540147,0.000000,1.000000,0.000000,0.500000,0.075545,0.464972,2,5,0,before_selection_start,0.000000,0.500000,0.000000,0.109336,0.125528,1.148087,0.000000,0.346276,0.437346,0.142206,0.484112,1.956984,1.999294,0.000000,0.000000,0.000000,1.000000,500.000000,1.314733,1.310547,1.308845,-0.004186,-0.005888,0.996816,0.995522,0.147907,0.000000,0.146272,0.194063,-0.047791,0.172071,0.207175,-0.035104,-0.047791,0.012688,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,1.574963,0.000000,0.000000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.118236,0.000000,0.484112,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.451273,0,0.500000,0.500000,0.000000,0.400000,0.145753,0.524850,0.000000,1.000000,0.000000,0.500000,0.072876,0.450910,2,5,0,before_selection_start,0.000000,0.500000,0.000000,0.108062,0.123314,1.141145,0.000000,0.340602,0.432246,0.137340,0.485072,1.959546,1.999637,0.000000,0.000000,0.000000,1.000000,500.000000,1.279112,1.285386,1.288850,0.006275,0.009739,1.004905,1.007614,0.148736,0.000000,0.146259,0.194272,-0.048014,0.172100,0.207139,-0.035040,-0.048014,0.012974,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,1.563037,0.000000,0.000000,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.117112,0.000000,0.485072,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.445906,1,0.500000,0.500000,0.000000,0.400000,0.136463,0.497404,0.000000,1.000000,0.000000,0.500000,0.068231,0.425899,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.500000,0.000000,0.104446,0.118302,1.132666,0.000000,0.324925,0.417783,0.129957,0.486631,1.963745,1.999691,0.000000,0.000000,0.000000,1.000000,500.000000,1.274898,1.280835,1.276089,0.005937,0.001191,1.004656,1.000934,0.151351,0.000000,0.147881,0.194688,-0.046806,0.171790,0.207216,-0.035426,-0.046806,0.011380,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,1.543985,0.000769,0.000782,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.112905,0.000383,0.486631,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.440175,1,0.500000,0.500000,0.000000,0.400000,0.126886,0.468028,0.000000,1.000000,0.000000,0.500000,0.063443,0.399414,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.102336,0.114381,1.117705,0.000000,0.316743,0.409342,0.119003,0.487628,1.966386,1.999868,0.000000,0.000000,0.000000,1.000000,500.000000,1.243870,1.248823,1.251364,0.004953,0.007494,1.003982,1.006025,0.152626,0.000000,0.150394,0.196002,-0.045608,0.171670,0.207231,-0.035561,-0.045608,0.010047,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,1.444137,0.002217,0.001733,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.104840,0.001107,0.487628,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.001733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.434698,1,0.500000,0.500000,0.000000,0.400000,0.118023,0.439889,0.000000,1.000000,0.000000,0.500000,0.059012,0.374297,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.099501,0.110141,1.106930,0.000000,0.304115,0.398004,0.111527,0.488719,1.969314,1.999635,0.000000,0.000000,0.000000,1.000000,500.000000,1.252804,1.249173,1.249779,-0.003632,-0.003025,0.997101,0.997585,0.154676,0.000000,0.151185,0.196946,-0.045761,0.170967,0.207330,-0.036363,-0.045761,0.009398,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,1.300724,0.003431,0.002791,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.092473,0.001706,0.488719,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.002791,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.427311,1,0.500000,0.500000,0.000000,0.400000,0.106461,0.401843,0.000000,1.000000,0.000000,0.500000,0.053231,0.340688,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.093089,0.102716,1.103412,0.000000,0.284665,0.372358,0.105332,0.488678,1.969097,1.993924,0.000000,0.000000,0.000000,1.000000,500.000000,1.244670,1.247289,1.247276,0.002619,0.002606,1.002104,1.002094,0.159859,0.000000,0.151378,0.197999,-0.046621,0.169782,0.207290,-0.037508,-0.046621,0.009112,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,1.047636,0.004559,0.004490,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.076110,0.002278,0.488678,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.004490,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.420343,1,1.000000,0.700000,0.000000,0.400000,0.095912,0.365871,0.000000,1.000000,0.000000,0.500000,0.047956,0.309241,2,5,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.092350,0.101891,1.103312,0.000000,0.276956,0.369399,0.105725,0.487393,1.965470,1.989071,0.000000,0.000000,0.000000,1.000000,500.000000,1.248701,1.248570,1.250049,-0.000132,0.001347,0.999895,1.001079,0.160465,0.000000,0.153255,0.199666,-0.046410,0.168638,0.206251,-0.037613,-0.046410,0.008797,1.000000,1,0.500000,0.200718,0.400000,1.000000,1,-1,-1,0.625261,0.005481,0.008776,1.000000,0.001000,0,30,-1,0.000000,0.000000,0.061450,0.002834,0.487393,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.008776,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
