epoch,score,selection_eligible,agreement,agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,global_asymmetry,asymmetry_score,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,dir_active_pair_frac,dir_prior_q_threshold,dir_active_abs_margin_mean,dir_active_abs_margin_median,dir_active_abs_margin_p90,dir_active_abs_margin_near0_frac,dir_active_signed_raw_mean,dir_active_signed_raw_median,dir_active_signed_raw_p10,dir_active_signed_raw_frac_pos,dir_active_signed_gate_mean,dir_active_signed_gate_median,dir_active_signed_gate_p10,dir_active_signed_gate_frac_pos,cross_source_mean_cos,cross_source_p90_cos,cross_source_gt_0p7_frac,cross_pred_mean_cos,cross_pred_p90_cos,cross_pred_gt_0p7_frac,cross_target_mean_cos,cross_target_p90_cos,cross_target_gt_0p7_frac,cross_num_lags,cross_pred_target_diag_mean,cross_pred_target_offdiag_mean,cross_pred_target_diag_gap,cross_agg_max_mean,cross_agg_max_p90,cross_agg_eff_parents_mean,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,main_loss_weight,directional_loss_active,directional_loss_end_epoch,directional_loss_deactivated_from_epoch,dir_loss_raw,dir_loss_weighted,dir_lambda_current,direction_lr_multiplier,direction_lr_current,direction_branch_frozen,freeze_direction_after_epoch,direction_branch_frozen_from_epoch,cross_loss_raw,cross_loss_weighted,cross_lambda_current,cross_fixed_weight_target,anti_collapse_raw,anti_collapse_weighted,anti_collapse_lambda_current,anti_collapse_margin,anti_collapse_mode,ortho_loss_raw,ortho_loss_weighted,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current,gradient_alignment_probe_enabled,gradient_alignment_probe_seed,grad_probe_available,grad_probe_lambda_dir,grad_probe_diff_norm,grad_probe_dir_norm_raw,grad_probe_dir_norm_weighted,grad_probe_dir_to_diff_norm_ratio,grad_probe_cosine,grad_probe_cosine_negative
1,0.403434,0,0.750000,0.666667,0.000000,0.666667,0.084107,0.324284,0.000000,1.000000,0.000000,0.171429,0.014418,0.095827,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.023543,0.056347,2.393334,0.000000,0.236575,0.329607,0.113371,0.291267,2.238144,3.492466,0.000000,0.000000,0.000000,0.044444,0.019331,0.297559,0.191611,0.701850,0.000000,0.278056,0.191611,-0.048759,0.800000,0.135702,0.095513,-0.024375,0.800000,0.157186,0.361872,0.000000,0.353894,0.652825,0.077922,0.150137,0.382991,0.000000,3.000000,-0.032808,-0.007026,-0.025782,0.578994,0.738178,2.142658,1.000000,500.000000,1.350734,1.348433,1.347733,-0.002301,-0.003001,0.998296,0.997778,0.060053,0.000000,0.219934,0.123960,0.095974,0.204954,0.126864,0.078090,0.095974,-0.017884,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.693912,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.739825,0.073560,0.100000,0.100000,0.008332,0.006252,0.100000,0.020000,signed_gate,0.061479,0.000000,0.291267,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.402285,0,0.833333,0.722222,0.000000,0.666667,0.082175,0.317351,0.000000,1.000000,0.000000,0.171429,0.014087,0.093639,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.021832,0.052414,2.400809,0.000000,0.220426,0.305647,0.104584,0.289850,2.232324,3.501677,0.000000,0.000000,0.000000,0.044444,0.019331,0.317394,0.197984,0.637759,0.000000,0.317394,0.197984,0.191593,1.000000,0.156041,0.098670,0.095505,1.000000,0.157186,0.361872,0.000000,0.354248,0.647369,0.076190,0.150137,0.382991,0.000000,3.000000,-0.032538,-0.007158,-0.025379,0.582464,0.750406,2.134480,1.000000,500.000000,1.327145,1.327462,1.326815,0.000317,-0.000330,1.000239,0.999751,0.061832,0.000000,0.219224,0.123875,0.095349,0.204832,0.127039,0.077793,0.095349,-0.017556,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.663766,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.739790,0.073557,0.100000,0.100000,0.000000,0.000058,0.100000,0.020000,signed_gate,0.060352,0.000000,0.289850,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.399926,0,0.833333,0.722222,0.000000,0.666667,0.078237,0.303115,0.000000,1.000000,0.000000,0.171429,0.013412,0.089176,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.020985,0.050435,2.403338,0.000000,0.212320,0.293793,0.101616,0.289870,2.233555,3.507497,0.000000,0.000000,0.000000,0.044444,0.019331,0.315525,0.201212,0.648764,0.000000,0.315525,0.201212,0.198076,1.000000,0.155084,0.100268,0.098715,1.000000,0.157186,0.361872,0.000000,0.354401,0.649739,0.070996,0.150137,0.382991,0.000000,3.000000,-0.032449,-0.007217,-0.025231,0.586877,0.742835,2.134321,1.000000,500.000000,1.325016,1.324106,1.325231,-0.000911,0.000215,0.999313,1.000162,0.062755,0.000000,0.219395,0.123939,0.095456,0.204805,0.126942,0.077863,0.095456,-0.017593,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.667356,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.739914,0.073556,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.059571,0.000000,0.289870,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.399575,0,0.750000,0.666667,0.000000,0.666667,0.077653,0.300995,0.000000,1.000000,0.000000,0.171429,0.013312,0.088514,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.020747,0.049983,2.409189,0.000000,0.210152,0.290453,0.098188,0.290011,2.235035,3.515004,0.000000,0.000000,0.000000,0.044444,0.019331,0.322656,0.191586,0.713240,0.000000,0.322656,0.191586,0.180358,1.000000,0.157962,0.095501,0.089935,1.000000,0.157186,0.361872,0.000000,0.353517,0.659961,0.066667,0.150137,0.382991,0.000000,3.000000,-0.032526,-0.007329,-0.025197,0.589614,0.734805,2.134621,1.000000,500.000000,1.336495,1.333369,1.336877,-0.003126,0.000383,0.997661,1.000286,0.062996,0.000000,0.219681,0.123685,0.095995,0.204730,0.126734,0.077996,0.095995,-0.017999,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.657513,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.739876,0.073553,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.059265,0.000000,0.290011,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.393828,0,0.833333,0.722222,0.000000,0.666667,0.068207,0.266253,0.000000,1.000000,0.000000,0.171429,0.011693,0.077793,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.020156,0.048132,2.388011,0.000000,0.200320,0.282180,0.096885,0.292939,2.254307,3.572619,0.000000,0.000000,0.000000,0.044444,0.019331,0.299777,0.248276,0.608322,0.000000,0.299777,0.248276,0.185997,1.000000,0.147684,0.123504,0.092731,1.000000,0.157186,0.361872,0.000000,0.355039,0.672232,0.066667,0.150137,0.382991,0.000000,3.000000,-0.032726,-0.007895,-0.024831,0.583584,0.701678,2.162537,1.000000,500.000000,1.327594,1.324393,1.324507,-0.003202,-0.003087,0.997588,0.997675,0.063654,0.000000,0.218727,0.124301,0.094426,0.206429,0.127234,0.079195,0.094426,-0.015230,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.690877,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.740362,0.073551,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.058893,0.000000,0.292939,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.391900,1,0.833333,0.722222,0.000000,0.666667,0.065078,0.254587,0.000000,1.000000,0.000000,0.171429,0.011156,0.074238,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.500000,0.000000,0.019936,0.047531,2.384142,0.000000,0.211229,0.279108,0.089601,0.293949,2.263237,3.621942,0.000000,0.000000,0.000000,0.044444,0.019331,0.390007,0.326485,0.595877,0.000000,0.390007,0.326485,0.223769,1.000000,0.191402,0.161808,0.111420,1.000000,0.157186,0.361872,0.000000,0.354838,0.681110,0.076190,0.150137,0.382991,0.000000,3.000000,-0.033027,-0.008018,-0.025009,0.582694,0.700834,2.174022,1.000000,500.000000,1.306964,1.308690,1.307358,0.001726,0.000395,1.001321,1.000302,0.063833,0.000000,0.218536,0.123499,0.095038,0.207438,0.127102,0.080335,0.095038,-0.014702,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.591816,0.000775,0.001891,1.000000,0.001000,0,-1,-1,0.740683,0.073541,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.058416,0.000396,0.293949,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.001891,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.395627,1,0.750000,0.666667,0.000000,0.666667,0.071145,0.277137,0.000000,1.000000,0.000000,0.171429,0.012196,0.081129,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.020275,0.048777,2.405795,0.000000,0.207300,0.283847,0.087107,0.291237,2.248308,3.569490,0.000000,0.000000,0.000000,0.044444,0.019331,0.733709,0.588628,1.109635,0.000000,0.733709,0.588628,0.371563,1.000000,0.343609,0.286100,0.183673,1.000000,0.157186,0.361872,0.000000,0.349828,0.685492,0.077922,0.150137,0.382991,0.000000,3.000000,-0.033262,-0.008052,-0.025210,0.584198,0.754737,2.151536,1.000000,500.000000,1.298827,1.296604,1.296795,-0.002223,-0.002032,0.998288,0.998436,0.063424,0.000000,0.218970,0.122078,0.096891,0.206989,0.126458,0.080532,0.096891,-0.016360,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.277748,0.001971,0.007489,1.000000,0.001000,0,-1,-1,0.741119,0.073533,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.057506,0.001098,0.291237,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.007489,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.397382,1,0.666667,0.611111,0.000000,0.666667,0.074027,0.287747,0.000000,1.000000,0.000000,0.171429,0.012690,0.084401,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.019700,0.048291,2.451381,0.000000,0.215385,0.275794,0.086345,0.285233,2.222820,3.572805,0.000000,0.000000,0.000000,0.044444,0.019331,1.224018,1.215694,1.273965,0.000000,1.224018,1.215694,1.197861,1.000000,0.545473,0.542610,0.536288,1.000000,0.157186,0.361872,0.000000,0.339567,0.653260,0.066667,0.150137,0.382991,0.000000,3.000000,-0.033240,-0.008626,-0.024613,0.600773,0.806744,2.119744,1.000000,500.000000,1.293715,1.291556,1.294660,-0.002159,0.000944,0.998331,1.000730,0.064098,0.000000,0.214891,0.121067,0.093824,0.209135,0.124181,0.084954,0.093824,-0.008869,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.001421,0.002143,0.159262,1.000000,0.001000,0,-1,-1,0.741049,0.073535,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.056103,0.001688,0.285233,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.159262,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.403857,1,0.833333,0.722222,0.000000,0.666667,0.084820,0.326834,0.000000,1.000000,0.000000,0.171429,0.014541,0.096635,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.018898,0.048887,2.586891,0.000000,0.248533,0.264572,0.096135,0.255059,2.080241,3.365333,0.000000,0.000000,0.000000,0.044444,0.019331,2.612779,2.611699,2.639758,0.000000,2.612779,2.611699,2.592528,1.000000,0.863342,0.863221,0.860758,1.000000,0.157186,0.361872,0.000000,0.320287,0.667956,0.066667,0.150137,0.382991,0.000000,3.000000,-0.033096,-0.008776,-0.024321,0.649031,0.909768,1.966948,1.000000,500.000000,1.295110,1.291588,1.291616,-0.003522,-0.003495,0.997281,0.997302,0.065174,0.000000,0.206855,0.116185,0.090671,0.205128,0.120574,0.084554,0.090671,-0.006117,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.000839,0.000625,0.497875,1.000000,0.001000,0,-1,-1,0.740750,0.073506,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.054327,0.002287,0.255059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.497875,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.406919,1,0.833333,0.722222,0.000000,0.666667,0.090020,0.345286,0.000000,1.000000,0.000000,0.171429,0.015432,0.102519,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.018950,0.050456,2.662580,0.000000,0.294623,0.265302,0.102895,0.235733,2.007340,3.318188,0.000000,0.000000,0.000000,0.044444,0.019331,3.878664,3.875697,3.887548,0.000000,3.878664,3.875697,3.874524,1.000000,0.959480,0.959363,0.959316,1.000000,0.157186,0.361872,0.000000,0.312152,0.660005,0.076190,0.150137,0.382991,0.000000,3.000000,-0.033101,-0.008768,-0.024333,0.665635,0.972370,1.918547,1.000000,500.000000,1.275032,1.279668,1.280914,0.004636,0.005882,1.003636,1.004614,0.065209,0.000000,0.201842,0.113909,0.087933,0.203640,0.119191,0.084449,0.087933,-0.003484,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.000176,0.000477,0.499989,1.000000,0.001000,0,-1,-1,0.740777,0.073467,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.053244,0.002871,0.235733,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.499989,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
