epoch,effective_rank,mean_cosine_sim,dead_dims_ratio,feature_std_mean,inter_subject_var,encoder_weight_norm
10,96.387321,0.093154,0.000000,0.983910,1.009311,3.489862
20,96.387321,0.093154,0.000000,0.983910,1.009311,3.489862
30,96.387321,0.093154,0.000000,0.983910,1.009311,3.489862
40,96.387321,0.093154,0.000000,0.983910,1.009311,3.489862
50,96.387321,0.093154,0.000000,0.983910,1.009311,3.489862
60,96.387321,0.093154,0.000000,0.983910,1.009311,3.489862
70,96.387321,0.093154,0.000000,0.983910,1.009311,3.489862
80,96.387321,0.093154,0.000000,0.983910,1.009311,3.489862
90,96.387321,0.093154,0.000000,0.983910,1.009311,3.489862
100,96.387321,0.093154,0.000000,0.983910,1.009311,3.489862
