epoch,score,selection_eligible,agreement,agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,global_asymmetry,asymmetry_score,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,dir_active_pair_frac,dir_prior_q_threshold,dir_active_reliability_mean,dir_active_reliability_median,dir_active_reliability_p10,dir_active_abs_margin_mean,dir_active_abs_margin_median,dir_active_abs_margin_p90,dir_active_abs_margin_near0_frac,dir_active_signed_raw_mean,dir_active_signed_raw_median,dir_active_signed_raw_p10,dir_active_signed_raw_frac_pos,dir_active_signed_gate_mean,dir_active_signed_gate_median,dir_active_signed_gate_p10,dir_active_signed_gate_frac_pos,cross_source_mean_cos,cross_source_p90_cos,cross_source_gt_0p7_frac,cross_pred_mean_cos,cross_pred_p90_cos,cross_pred_gt_0p7_frac,cross_target_mean_cos,cross_target_p90_cos,cross_target_gt_0p7_frac,cross_num_lags,cross_pred_target_diag_mean,cross_pred_target_offdiag_mean,cross_pred_target_diag_gap,cross_agg_max_mean,cross_agg_max_p90,cross_agg_eff_parents_mean,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,main_loss_weight,directional_loss_active,directional_loss_end_epoch,directional_loss_deactivated_from_epoch,dir_loss_raw,dir_loss_weighted,dir_lambda_current,direction_lr_multiplier,direction_lr_current,direction_branch_frozen,freeze_direction_after_epoch,direction_branch_frozen_from_epoch,cross_loss_raw,cross_loss_weighted,cross_lambda_current,cross_fixed_weight_target,anti_collapse_raw,anti_collapse_weighted,anti_collapse_lambda_current,anti_collapse_margin,anti_collapse_mode,ortho_loss_raw,ortho_loss_weighted,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current,gradient_alignment_probe_enabled,gradient_alignment_probe_seed,grad_probe_available,grad_probe_lambda_dir,grad_probe_diff_norm,grad_probe_dir_norm_raw,grad_probe_dir_norm_weighted,grad_probe_dir_to_diff_norm_ratio,grad_probe_cosine,grad_probe_cosine_negative
1,0.401322,0,0.750000,0.666667,0.000000,0.666667,0.080564,0.311544,0.000000,1.000000,0.000000,0.171429,0.013811,0.091813,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.023496,0.056088,2.387092,0.000000,0.240777,0.328951,0.110671,0.293572,2.248420,3.482721,0.000000,0.000000,0.000000,0.106667,0.013223,0.328300,0.325000,0.270400,0.772046,0.550636,1.382884,0.000000,0.612019,0.294946,-0.056493,0.833333,0.251697,0.146048,-0.028239,0.833333,0.157186,0.361872,0.000000,0.357678,0.657575,0.068398,0.150137,0.382991,0.000000,3.000000,-0.032594,-0.007146,-0.025448,0.573641,0.716541,2.157708,1.000000,500.000000,1.350451,1.348044,1.347273,-0.002407,-0.003178,0.998218,0.997647,0.060076,0.000000,0.219367,0.124064,0.095303,0.206221,0.127160,0.079061,0.095303,-0.016242,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.626930,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.739537,0.073561,0.100000,0.100000,0.028048,0.007111,0.100000,0.020000,signed_gate,0.061478,0.000000,0.293572,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
2,0.398473,0,0.833333,0.722222,0.000000,0.666667,0.075827,0.294336,0.000000,1.000000,0.000000,0.171429,0.012999,0.086443,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.021816,0.052152,2.390566,0.000000,0.224886,0.305420,0.095283,0.293212,2.245495,3.485763,0.000000,0.000000,0.000000,0.106667,0.013223,0.328300,0.325000,0.270400,0.751656,0.325662,1.535053,0.000000,0.716219,0.325662,0.147882,0.916667,0.298557,0.161334,0.073806,0.916667,0.157186,0.361872,0.000000,0.363073,0.653104,0.076190,0.150137,0.382991,0.000000,3.000000,-0.032566,-0.007245,-0.025321,0.575608,0.698158,2.152209,1.000000,500.000000,1.321134,1.321752,1.321190,0.000618,0.000057,1.000468,1.000043,0.061758,0.000000,0.219352,0.123757,0.095594,0.205515,0.127589,0.077926,0.095594,-0.017668,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.560193,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.739553,0.073565,0.100000,0.100000,0.006291,0.001552,0.100000,0.020000,signed_gate,0.060344,0.000000,0.293212,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
3,0.396838,0,0.750000,0.666667,0.000000,0.666667,0.073132,0.284458,0.000000,1.000000,0.000000,0.171429,0.012537,0.083385,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.021063,0.050403,2.393031,0.000000,0.217702,0.294876,0.089703,0.293365,2.245664,3.500021,0.000000,0.000000,0.000000,0.106667,0.013223,0.328300,0.325000,0.270400,0.749930,0.352652,1.561826,0.000000,0.749930,0.352652,0.186151,1.000000,0.317332,0.174517,0.092808,1.000000,0.157186,0.361872,0.000000,0.365800,0.653020,0.076190,0.150137,0.382991,0.000000,3.000000,-0.032625,-0.007268,-0.025356,0.576994,0.692531,2.150254,1.000000,500.000000,1.324014,1.323295,1.324165,-0.000719,0.000151,0.999457,1.000114,0.062550,0.000000,0.219607,0.123606,0.096001,0.204891,0.127640,0.077251,0.096001,-0.018750,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.532352,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.739751,0.073563,0.100000,0.100000,0.000000,0.000106,0.100000,0.020000,signed_gate,0.059595,0.000000,0.293365,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
4,0.396385,0,0.750000,0.666667,0.000000,0.666667,0.072387,0.281720,0.000000,1.000000,0.000000,0.171429,0.012409,0.082540,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.020632,0.049558,2.402042,0.000000,0.211197,0.288842,0.086063,0.293118,2.244735,3.503736,0.000000,0.000000,0.000000,0.106667,0.013223,0.328300,0.325000,0.270400,0.735249,0.357776,1.473439,0.000000,0.735249,0.357776,0.179928,1.000000,0.313676,0.177003,0.089722,1.000000,0.157186,0.361872,0.000000,0.364882,0.657644,0.066667,0.150137,0.382991,0.000000,3.000000,-0.032827,-0.007402,-0.025425,0.580684,0.706115,2.147183,1.000000,500.000000,1.326391,1.325974,1.326995,-0.000416,0.000604,0.999686,1.000455,0.063006,0.000000,0.219954,0.123320,0.096634,0.204459,0.127448,0.077011,0.096634,-0.019623,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.529320,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.739778,0.073560,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.059294,0.000000,0.293118,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
5,0.392031,0,0.750000,0.666667,0.000000,0.666667,0.065291,0.255382,0.000000,1.000000,0.000000,0.171429,0.011193,0.074480,12,18,0,before_selection_start,0.000000,0.500000,0.000000,0.019949,0.047551,2.383675,0.000000,0.197026,0.279282,0.086323,0.295193,2.259047,3.559147,0.000000,0.000000,0.000000,0.106667,0.013223,0.328300,0.325000,0.270400,0.689838,0.360123,1.291288,0.000000,0.689838,0.360123,0.193167,1.000000,0.299651,0.178099,0.096284,1.000000,0.157186,0.361872,0.000000,0.366672,0.674588,0.066667,0.150137,0.382991,0.000000,3.000000,-0.033061,-0.008077,-0.024984,0.575518,0.693809,2.168182,1.000000,500.000000,1.331836,1.327263,1.328019,-0.004573,-0.003817,0.996566,0.997134,0.063786,0.000000,0.218707,0.123909,0.094798,0.205771,0.127985,0.077786,0.094798,-0.017013,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.544542,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0.740206,0.073558,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.058895,0.000000,0.295193,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
6,0.391319,1,0.750000,0.666667,0.000000,0.666667,0.064139,0.251071,0.000000,1.000000,0.000000,0.171429,0.010995,0.073171,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.500000,0.000000,0.019874,0.047359,2.383017,0.000000,0.195262,0.278232,0.080172,0.295668,2.264068,3.599892,0.000000,0.000000,0.000000,0.106667,0.013223,0.328300,0.325000,0.270400,0.695769,0.514939,1.090472,0.000000,0.695769,0.514939,0.269722,1.000000,0.309075,0.251787,0.134049,1.000000,0.157186,0.361872,0.000000,0.364672,0.680036,0.066667,0.150137,0.382991,0.000000,3.000000,-0.033009,-0.007971,-0.025039,0.576428,0.691199,2.173958,1.000000,500.000000,1.303833,1.303959,1.302477,0.000126,-0.001356,1.000097,0.998960,0.063814,0.000000,0.218366,0.123240,0.095125,0.206487,0.127818,0.078670,0.095125,-0.016455,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.477804,0.000778,0.002377,1.000000,0.001000,0,-1,-1,0.740470,0.073549,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.058476,0.000397,0.295668,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.002377,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
7,0.397770,1,0.666667,0.611111,0.000000,0.666667,0.074667,0.290092,0.000000,1.000000,0.000000,0.171429,0.012800,0.085127,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.020309,0.049025,2.413994,0.000000,0.194621,0.284323,0.078041,0.291425,2.239610,3.535281,0.000000,0.000000,0.000000,0.106667,0.013223,0.328300,0.325000,0.270400,0.867587,0.814753,1.088544,0.000000,0.867587,0.814753,0.485569,1.000000,0.391137,0.383965,0.238124,1.000000,0.157186,0.361872,0.000000,0.357960,0.669506,0.076190,0.150137,0.382991,0.000000,3.000000,-0.032765,-0.007722,-0.025044,0.584500,0.729345,2.135397,1.000000,500.000000,1.297356,1.295712,1.297165,-0.001643,-0.000191,0.998733,0.999853,0.063303,0.000000,0.217786,0.121823,0.095964,0.205946,0.126783,0.079163,0.095964,-0.016801,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.227483,0.001982,0.008951,1.000000,0.001000,0,-1,-1,0.740795,0.073542,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.057653,0.001097,0.291425,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.008951,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
8,0.408745,1,0.666667,0.611111,0.000000,0.666667,0.093154,0.356279,0.000000,1.000000,0.000000,0.171429,0.015969,0.106062,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.019824,0.049932,2.518744,0.000000,0.218293,0.277537,0.082894,0.279227,2.173138,3.453786,0.000000,0.000000,0.000000,0.106667,0.013223,0.328300,0.325000,0.270400,1.255279,1.198820,1.269934,0.000000,1.255279,1.198820,1.191856,1.000000,0.552761,0.536629,0.534146,1.000000,0.157186,0.361872,0.000000,0.345645,0.654520,0.066667,0.150137,0.382991,0.000000,3.000000,-0.031544,-0.007596,-0.023948,0.616049,0.771964,2.044650,1.000000,500.000000,1.302024,1.298030,1.300217,-0.003994,-0.001807,0.996932,0.998612,0.063929,0.000000,0.213163,0.119606,0.093556,0.206724,0.124016,0.082708,0.093556,-0.010848,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.005646,0.002207,0.267655,1.000000,0.001000,0,-1,-1,0.740548,0.073542,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.056392,0.001687,0.279227,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.267655,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
9,0.426853,1,0.750000,0.666667,0.000000,0.666667,0.125837,0.464746,0.000000,1.000000,0.000000,0.171429,0.021572,0.142830,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.018962,0.052686,2.778532,0.000000,0.256151,0.265468,0.104439,0.229304,1.913623,2.831574,0.000000,0.000000,0.000000,0.106667,0.013223,0.328300,0.325000,0.270400,2.341245,2.341905,2.356120,0.000000,2.341245,2.341905,2.326680,1.000000,0.824465,0.824577,0.822125,1.000000,0.157186,0.361872,0.000000,0.317711,0.622234,0.066667,0.150137,0.382991,0.000000,3.000000,-0.029628,-0.006607,-0.023021,0.697122,0.919118,1.767488,1.000000,500.000000,1.301140,1.295475,1.294768,-0.005664,-0.006371,0.995647,0.995103,0.065207,0.000000,0.207678,0.114638,0.093041,0.199466,0.118445,0.081021,0.093041,-0.012020,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.000855,0.000634,0.498803,1.000000,0.001000,0,-1,-1,0.739924,0.073507,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.054600,0.002289,0.229304,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.498803,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
10,0.435355,1,0.750000,0.666667,0.000000,0.666667,0.142459,0.515239,0.000000,1.000000,0.000000,0.171429,0.024422,0.161387,12,18,0,low_density_factor|density_ratio_out_of_range,0.000000,0.850000,1.000000,0.019027,0.055501,2.916917,0.000000,0.296076,0.266380,0.118825,0.190155,1.740206,2.418109,0.000000,0.000000,0.000000,0.106667,0.013223,0.328300,0.325000,0.270400,3.348840,3.345598,3.363842,0.000000,3.348840,3.345598,3.338889,1.000000,0.932131,0.931921,0.931478,1.000000,0.157186,0.361872,0.000000,0.302078,0.612429,0.057143,0.150137,0.382991,0.000000,3.000000,-0.028824,-0.006158,-0.022666,0.737539,0.969703,1.635884,1.000000,500.000000,1.286512,1.288077,1.291730,0.001565,0.005218,1.001217,1.004056,0.065331,0.000000,0.204854,0.112055,0.092799,0.196322,0.115429,0.080893,0.092799,-0.011906,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.000415,0.000369,0.499994,1.000000,0.001000,0,-1,-1,0.739427,0.073469,0.100000,0.100000,0.000000,0.000000,0.100000,0.020000,signed_gate,0.053395,0.002880,0.190155,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,0.000000,0.499994,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
