epoch,score,selection_eligible,score_mode,agreement,agreement_score,agreement_soft_score,agreement_mode,effective_agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,fixed_support_mask_active,global_asymmetry,asymmetry_score,causal_lag_reverse_minus_forward,score_legacy_total,score_term_legacy_skeleton,score_term_legacy_agreement,score_term_legacy_density,score_term_legacy_margin,score_term_legacy_asymmetry,score_composite_total,score_term_composite_soft_agreement,score_term_composite_causal_lag,score_term_composite_margin_penalty,score_entropy_composite_total,score_term_entropy_composite_soft_agreement,score_term_entropy_composite_causal_lag_mean,score_term_entropy_composite_causal_lag_std_penalty,score_term_entropy_composite_parent_entropy_penalty,score_term_entropy_composite_margin_penalty,composite_soft_agreement_weight,composite_causal_lag_weight,composite_margin_penalty_weight,composite_causal_lag_std_penalty_weight,composite_parent_entropy_penalty_weight,score_primary_total,score_term_primary_causal_lag,score_term_primary_soft_tiebreak,score_term_primary_skeleton_tiebreak,score_term_primary_density_tiebreak,primary_causal_lag_weight,primary_soft_tiebreak_weight,primary_skeleton_tiebreak_weight,primary_density_tiebreak_weight,selection_causal_lag_delta_mean,selection_causal_lag_delta_std,selection_parent_entropy_mean,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,dir_active_pair_frac,dir_prior_q_threshold,dir_active_reliability_mean,dir_active_reliability_median,dir_active_reliability_p10,dir_active_abs_margin_mean,dir_active_abs_margin_median,dir_active_abs_margin_p90,dir_active_abs_margin_near0_frac,dir_active_signed_raw_mean,dir_active_signed_raw_median,dir_active_signed_raw_p10,dir_active_signed_raw_frac_pos,dir_active_signed_gate_mean,dir_active_signed_gate_median,dir_active_signed_gate_p10,dir_active_signed_gate_frac_pos,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,main_loss_weight,directional_loss_active,directional_loss_end_epoch,directional_loss_deactivated_from_epoch,dir_loss_raw,dir_loss_weighted,dir_lambda_current,direction_lr_multiplier,direction_lr_current,direction_branch_frozen,freeze_direction_after_epoch,direction_branch_frozen_from_epoch,detach_direction_from_main_active,detach_direction_from_main_after_epoch,direction_from_main_detached_from_epoch,causal_lag_main_raw,causal_lag_main_weight,causal_lag_main_weighted,post_detach_direction_loss_requested,post_detach_direction_active,post_detach_direction_contrast_weight,post_detach_direction_variance_weight,post_detach_direction_parent_entropy_weight,post_detach_direction_raw,post_detach_direction_weighted,ortho_loss_raw,ortho_loss_weighted,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current,gradient_alignment_probe_enabled,gradient_alignment_probe_seed,selector_audit_enabled,grad_probe_available,grad_probe_lambda_dir,grad_probe_diff_norm,grad_probe_dir_norm_raw,grad_probe_dir_norm_weighted,grad_probe_dir_to_diff_norm_ratio,grad_probe_cosine,grad_probe_cosine_negative,causal_lag_diag_available,causal_lag_diag_forward_loss,causal_lag_diag_reverse_loss,causal_lag_diag_reverse_minus_forward,causal_lag_diag_forward_over_reverse,causal_lag_diag_prefers_forward,causal_lag_diag_num_lags,post_detach_direction_available,post_detach_direction_batch_count,post_detach_direction_subject_count,post_detach_direction_forward_mean,post_detach_direction_reverse_mean,post_detach_direction_delta_mean,post_detach_direction_delta_var,post_detach_direction_parent_entropy,selection_causal_lag_subject_count,selection_causal_lag_forward_mean,selection_causal_lag_forward_std,selection_causal_lag_reverse_mean,selection_causal_lag_reverse_std,selection_causal_lag_delta_min,selection_causal_lag_delta_max,selection_causal_lag_prefers_forward_frac,selection_causal_lag_num_lags,selector_audit_precision,selector_audit_recall,selector_audit_f1,selector_audit_tie_count,selector_audit_margin_mean,selector_audit_margin_median,selector_audit_margin_std,selector_audit_margin_p90,selector_audit_margin_max,selector_audit_margin_lt_1e3_frac,selector_audit_margin_lt_1e2_frac,selector_audit_gt_signed_margin_mean,selector_audit_gt_signed_margin_median,selector_audit_gt_signed_margin_p10,selector_audit_gt_signed_margin_p90,selector_audit_gt_signed_margin_frac_pos,selector_audit_failure_mode,selector_audit_strict_precision_eps_0,selector_audit_strict_recall_eps_0,selector_audit_strict_f1_eps_0,selector_audit_strict_pred_count_eps_0,selector_audit_strict_precision_eps_0p0003,selector_audit_strict_recall_eps_0p0003,selector_audit_strict_f1_eps_0p0003,selector_audit_strict_pred_count_eps_0p0003,selector_audit_strict_precision_eps_0p1,selector_audit_strict_recall_eps_0p1,selector_audit_strict_f1_eps_0p1,selector_audit_strict_pred_count_eps_0p1
1,0.017400,1,causal_lag_primary,0.333333,0.388889,0.348008,hard_coverage,0.388889,0.000000,0.666667,0.067246,0.262680,1.000000,1.000000,0.171429,0.171429,1,0.011528,0.076702,0.000000,0.593237,0.350000,0.000000,0.200000,0.039402,0.003835,0.066239,0.069602,0.000000,0.003362,0.066239,0.069602,0.000000,0.000000,0.000000,0.003362,0.200000,1.000000,0.050000,0.000000,0.000000,0.017400,0.000000,-0.007600,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.294767,12,18,1,pass,1.000000,0.500000,0.000000,0.022710,0.054058,2.380373,0.000000,0.232904,0.317940,0.135363,0.294767,2.269458,3.604340,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.611984,0.316557,1.149207,0.000000,-0.298582,-0.073255,-1.149207,0.333333,-0.114944,-0.036611,-0.518732,0.333333,1.000000,500.000000,1.567810,1.568692,1.568245,0.000882,0.000435,1.000562,1.000277,0.061248,0.000000,0.229674,0.119496,0.110178,0.230061,0.117300,0.112761,0.110178,0.002583,1.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,1.362736,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0,-1,-1,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.061125,0.000000,0.294767,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.066667,0.388889,0.113821,87.000000,0.011528,0.000000,0.037783,0.021372,0.214342,0.828571,0.885714,-0.023414,-0.008499,-0.153467,0.091183,0.388889,weak_asymmetry,0.388889,0.388889,0.388889,18.000000,0.388889,0.388889,0.388889,18.000000,0.333333,0.111111,0.166667,6.000000
2,0.017923,1,causal_lag_primary,0.333333,0.388889,0.358460,hard_coverage,0.388889,0.000000,0.666667,0.064179,0.251220,1.000000,1.000000,0.171429,0.171429,1,0.011002,0.073216,0.000000,0.591344,0.350000,0.000000,0.200000,0.037683,0.003661,0.068483,0.071692,0.000000,0.003209,0.068483,0.071692,0.000000,0.000000,0.000000,0.003209,0.200000,1.000000,0.050000,0.000000,0.000000,0.017923,0.000000,-0.007077,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.295599,12,18,1,pass,1.000000,0.850000,1.000000,0.021331,0.050746,2.378960,0.000000,0.214661,0.298637,0.123970,0.295599,2.273882,3.609991,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.621793,0.329389,1.150465,0.000000,-0.321818,-0.147332,-1.150465,0.333333,-0.125132,-0.073420,-0.519192,0.333333,1.000000,500.000000,1.530179,1.531070,1.532338,0.000890,0.002159,1.000582,1.001411,0.062647,0.000000,0.230076,0.119639,0.110436,0.230106,0.117239,0.112866,0.110436,0.002430,1.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,1.390844,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0,-1,-1,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.060162,0.000000,0.295599,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.076190,0.444444,0.130081,87.000000,0.011002,0.000000,0.035530,0.028589,0.197051,0.828571,0.866667,-0.023466,-0.006138,-0.146527,0.075111,0.444444,weak_asymmetry,0.444444,0.444444,0.444444,18.000000,0.444444,0.444444,0.444444,18.000000,0.333333,0.111111,0.166667,6.000000
3,0.017980,1,causal_lag_primary,0.333333,0.388889,0.359605,hard_coverage,0.388889,0.000000,0.666667,0.062176,0.243698,1.000000,1.000000,0.171429,0.171429,1,0.010659,0.070938,0.000000,0.590102,0.350000,0.000000,0.200000,0.036555,0.003547,0.068812,0.071921,0.000000,0.003109,0.068812,0.071921,0.000000,0.000000,0.000000,0.003109,0.200000,1.000000,0.050000,0.000000,0.000000,0.017980,0.000000,-0.007020,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.296453,12,18,1,pass,1.000000,0.850000,1.000000,0.020790,0.049289,2.370820,0.000000,0.213607,0.291057,0.118294,0.296453,2.278865,3.618916,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.627909,0.379334,1.222500,0.000000,-0.340840,-0.120920,-1.222500,0.333333,-0.131510,-0.060371,-0.545007,0.333333,1.000000,500.000000,1.532147,1.532323,1.533816,0.000176,0.001669,1.000115,1.001090,0.063192,0.000000,0.230830,0.119744,0.111086,0.229661,0.117329,0.112332,0.111086,0.001246,1.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,1.408059,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0,-1,-1,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.059631,0.000000,0.296453,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.066667,0.388889,0.113821,87.000000,0.010659,0.000000,0.033688,0.026502,0.196133,0.828571,0.866667,-0.024139,-0.007550,-0.132118,0.062206,0.388889,weak_asymmetry,0.388889,0.388889,0.388889,18.000000,0.388889,0.388889,0.388889,18.000000,0.333333,0.111111,0.166667,6.000000
4,0.014331,1,causal_lag_primary,0.250000,0.333333,0.286618,hard_coverage,0.333333,0.000000,0.666667,0.061714,0.241961,1.000000,1.000000,0.171429,0.171429,1,0.010580,0.070414,0.000000,0.589815,0.350000,0.000000,0.200000,0.036294,0.003521,0.054238,0.057324,0.000000,0.003086,0.054238,0.057324,0.000000,0.000000,0.000000,0.003086,0.200000,1.000000,0.050000,0.000000,0.000000,0.014331,0.000000,-0.010669,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.296380,12,18,1,pass,1.000000,0.850000,1.000000,0.020497,0.048583,2.370248,0.000000,0.201138,0.286956,0.118093,0.296380,2.278485,3.619530,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.622663,0.382660,1.228964,0.000000,-0.377011,-0.172396,-1.228964,0.250000,-0.150363,-0.085901,-0.547275,0.250000,1.000000,500.000000,1.529719,1.531636,1.529680,0.001917,-0.000039,1.001253,0.999974,0.063528,0.000000,0.230814,0.119540,0.111273,0.228054,0.117482,0.110572,0.111273,-0.000701,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,1.443727,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0,-1,-1,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.059143,0.000000,0.296380,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.057143,0.333333,0.097561,87.000000,0.010580,0.000000,0.032906,0.034207,0.183924,0.828571,0.847619,-0.024967,-0.011910,-0.127552,0.066978,0.333333,weak_asymmetry,0.333333,0.333333,0.333333,18.000000,0.333333,0.333333,0.333333,18.000000,0.333333,0.111111,0.166667,6.000000
5,0.013156,1,causal_lag_primary,0.250000,0.333333,0.263120,hard_coverage,0.333333,0.000000,0.666667,0.057355,0.225478,1.000000,1.000000,0.171429,0.171429,1,0.009832,0.065455,0.000000,0.587094,0.350000,0.000000,0.200000,0.033822,0.003273,0.049756,0.052624,0.000000,0.002868,0.049756,0.052624,0.000000,0.000000,0.000000,0.002868,0.200000,1.000000,0.050000,0.000000,0.000000,0.013156,0.000000,-0.011844,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.299165,12,18,1,pass,1.000000,0.850000,1.000000,0.020079,0.047324,2.356826,0.000000,0.188613,0.281111,0.113718,0.299165,2.291682,3.623904,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.606275,0.380813,1.260872,0.000000,-0.378383,-0.276643,-1.260872,0.250000,-0.156706,-0.137411,-0.558352,0.250000,1.000000,500.000000,1.530765,1.529900,1.529539,-0.000865,-0.001226,0.999435,0.999199,0.063960,0.000000,0.232011,0.119406,0.112605,0.227841,0.118734,0.109107,0.112605,-0.003498,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,1.431591,0.000000,0.000000,1.000000,0.001000,0,-1,-1,0,-1,-1,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.058776,0.000000,0.299165,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.066667,0.388889,0.113821,87.000000,0.009832,0.000000,0.030617,0.027356,0.170836,0.838095,0.857143,-0.025951,-0.024692,-0.119871,0.051265,0.388889,weak_asymmetry,0.388889,0.388889,0.388889,18.000000,0.411765,0.388889,0.400000,17.000000,0.500000,0.111111,0.181818,4.000000
6,0.013695,1,causal_lag_primary,0.250000,0.333333,0.273901,hard_coverage,0.333333,0.000000,0.666667,0.055365,0.217908,1.000000,1.000000,0.171429,0.171429,1,0.009491,0.063190,0.000000,0.585846,0.350000,0.000000,0.200000,0.032686,0.003159,0.052012,0.054780,0.000000,0.002768,0.052012,0.054780,0.000000,0.000000,0.000000,0.002768,0.200000,1.000000,0.050000,0.000000,0.000000,0.013695,0.000000,-0.011305,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.300059,12,18,1,pass,1.000000,0.850000,1.000000,0.019835,0.046596,2.349222,0.000000,0.185948,0.277686,0.107665,0.300059,2.294162,3.618388,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.565257,0.377203,1.181215,0.000000,-0.344062,-0.253455,-1.181215,0.250000,-0.150583,-0.125797,-0.530332,0.250000,1.000000,500.000000,1.505732,1.507268,1.506354,0.001536,0.000622,1.001020,1.000413,0.064163,0.000000,0.232781,0.119313,0.113468,0.227693,0.118997,0.108696,0.113468,-0.004773,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,1.377835,0.000906,0.000997,1.000000,0.001000,0,-1,-1,0,-1,-1,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.058121,0.000455,0.300059,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000997,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.047619,0.277778,0.081301,87.000000,0.009491,0.000000,0.028652,0.026396,0.167396,0.828571,0.847619,-0.024136,-0.017714,-0.106829,0.053322,0.277778,weak_asymmetry,0.277778,0.277778,0.277778,18.000000,0.277778,0.277778,0.277778,18.000000,0.500000,0.111111,0.181818,4.000000
7,0.022992,1,causal_lag_primary,0.416667,0.444444,0.459837,hard_coverage,0.444444,0.000000,0.666667,0.044704,0.176933,1.000000,1.000000,0.171429,0.171429,1,0.007663,0.051046,0.000000,0.579092,0.350000,0.000000,0.200000,0.026540,0.002552,0.089732,0.091967,0.000000,0.002235,0.089732,0.091967,0.000000,0.000000,0.000000,0.002235,0.200000,1.000000,0.050000,0.000000,0.000000,0.022992,0.000000,-0.002008,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.302630,12,18,1,pass,1.000000,0.850000,1.000000,0.019247,0.044884,2.331979,0.000000,0.178324,0.269462,0.099023,0.302630,2.306513,3.637683,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.415822,0.166764,1.127544,0.000000,-0.079853,-0.014280,-1.045201,0.416667,-0.036949,-0.007140,-0.479705,0.416667,1.000000,500.000000,1.520810,1.524322,1.521661,0.003512,0.000851,1.002309,1.000559,0.064742,0.000000,0.233228,0.119883,0.113345,0.228734,0.119535,0.109198,0.113345,-0.004147,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,1.085185,0.002500,0.002467,1.000000,0.001000,0,-1,-1,0,-1,-1,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.056521,0.001273,0.302630,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.002467,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.066667,0.388889,0.113821,87.000000,0.007663,0.000000,0.024682,0.015807,0.150647,0.838095,0.866667,-0.006881,-0.001539,-0.081427,0.083531,0.388889,weak_asymmetry,0.388889,0.388889,0.388889,18.000000,0.388889,0.388889,0.388889,18.000000,0.666667,0.111111,0.190476,3.000000
8,0.036104,1,causal_lag_primary,0.750000,0.666667,0.722086,hard_coverage,0.666667,0.000000,0.666667,0.049026,0.193630,1.000000,1.000000,0.171429,0.171429,1,0.008405,0.055972,0.000000,0.581843,0.350000,0.000000,0.200000,0.029044,0.002799,0.141966,0.144417,0.000000,0.002451,0.141966,0.144417,0.000000,0.000000,0.000000,0.002451,0.200000,1.000000,0.050000,0.000000,0.000000,0.036104,0.000000,0.011104,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.303921,12,18,1,pass,1.000000,0.850000,1.000000,0.019628,0.045796,2.333196,0.000000,0.186839,0.274790,0.093761,0.303921,2.315177,3.660918,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.424930,0.260730,0.917791,0.000000,0.289336,0.228565,-0.237251,0.750000,0.136570,0.113760,-0.118072,0.750000,1.000000,500.000000,1.499057,1.499057,1.497983,-0.000000,-0.001074,1.000000,0.999284,0.064242,0.000000,0.234257,0.119669,0.114588,0.229309,0.119760,0.109549,0.114588,-0.005039,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.680517,0.003747,0.005568,1.000000,0.001000,0,-1,-1,0,-1,-1,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.054371,0.001903,0.303921,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.005568,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.114286,0.666667,0.195122,87.000000,0.008405,0.000000,0.024542,0.026999,0.140232,0.838095,0.838095,0.016462,0.019842,-0.047888,0.097813,0.666667,weak_asymmetry,0.666667,0.666667,0.666667,18.000000,0.666667,0.666667,0.666667,18.000000,0.500000,0.055556,0.100000,2.000000
9,0.047548,1,causal_lag_primary,1.000000,0.833333,0.950963,hard_coverage,0.833333,0.000000,0.666667,0.084919,0.327187,1.000000,1.000000,0.171429,0.171429,1,0.014558,0.096746,0.000000,0.603915,0.350000,0.000000,0.200000,0.049078,0.004837,0.185947,0.190193,0.000000,0.004246,0.185947,0.190193,0.000000,0.000000,0.000000,0.004246,0.200000,1.000000,0.050000,0.000000,0.000000,0.047548,0.000000,0.022548,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.298099,12,18,1,pass,1.000000,0.850000,1.000000,0.019097,0.047057,2.464096,0.000000,0.223709,0.267356,0.113973,0.298099,2.286717,3.647210,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,0.885505,1.026256,1.207757,0.000000,0.885505,1.026256,0.271489,1.000000,0.406781,0.472373,0.134917,1.000000,1.000000,500.000000,1.497658,1.495873,1.496315,-0.001785,-0.001343,0.998808,0.999103,0.065153,0.000000,0.231909,0.117815,0.114094,0.226669,0.119357,0.107311,0.114094,-0.006783,0.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.139967,0.004480,0.026080,1.000000,0.001000,0,-1,-1,0,-1,-1,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.052051,0.002422,0.298099,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.026080,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.142857,0.833333,0.243902,87.000000,0.014558,0.000000,0.036013,0.090280,0.151264,0.828571,0.828571,0.051239,0.074323,-0.086941,0.125022,0.833333,mixed_or_partial,0.833333,0.833333,0.833333,18.000000,0.833333,0.833333,0.833333,18.000000,0.875000,0.388889,0.538462,8.000000
10,0.047548,1,causal_lag_primary,1.000000,0.833333,0.950963,hard_coverage,0.833333,0.000000,0.666667,0.139370,0.506104,1.000000,1.000000,0.171429,0.171429,1,0.023892,0.157946,0.000000,0.633813,0.350000,0.000000,0.200000,0.075916,0.007897,0.183224,0.190193,0.000000,0.006968,0.183224,0.190193,0.000000,0.000000,0.000000,0.006968,0.200000,1.000000,0.050000,0.000000,0.000000,0.047548,0.000000,0.022548,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.269814,12,18,1,pass,1.000000,0.850000,1.000000,0.019041,0.053116,2.789524,0.000000,0.288533,0.266579,0.170479,0.269814,2.139730,3.236488,0.000000,0.000000,0.000000,0.106667,0.115147,1.000000,1.000000,1.000000,2.022840,2.022789,2.032032,0.000000,2.022840,2.022789,2.011232,1.000000,0.766342,0.766337,0.763943,1.000000,1.000000,500.000000,1.512639,1.512102,1.512638,-0.000537,-0.000002,0.999645,0.999999,0.066225,0.000000,0.213883,0.111066,0.102817,0.220999,0.116214,0.104786,0.102817,0.001969,1.000000,1,0.500000,0.063121,0.373333,1.000000,1,-1,-1,0.000983,0.001911,0.481514,1.000000,0.001000,0,-1,-1,0,-1,-1,0.000000,0.000000,0.000000,0,0,0.000000,0.000000,0.000000,0.000000,0.000000,0.050236,0.002793,0.269814,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.481514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.142857,0.833333,0.243902,87.000000,0.023892,0.000000,0.057562,0.140557,0.250234,0.828571,0.828571,0.089110,0.142947,-0.128039,0.193603,0.833333,mixed_or_partial,0.833333,0.833333,0.833333,18.000000,0.833333,0.833333,0.833333,18.000000,0.769231,0.555556,0.645161,13.000000
