epoch,score,selection_eligible,score_mode,agreement,agreement_score,agreement_soft_score,agreement_mode,effective_agreement_score,agreement_weight,agreement_coverage,dir_margin,margin_score,density_factor,skeleton_overlap,actual_pair_density,target_pair_density,fixed_support_mask_active,global_asymmetry,asymmetry_score,causal_lag_reverse_minus_forward,score_legacy_total,score_term_legacy_skeleton,score_term_legacy_agreement,score_term_legacy_density,score_term_legacy_margin,score_term_legacy_asymmetry,score_composite_total,score_term_composite_soft_agreement,score_term_composite_causal_lag,score_term_composite_margin_penalty,score_entropy_composite_total,score_term_entropy_composite_soft_agreement,score_term_entropy_composite_causal_lag_mean,score_term_entropy_composite_causal_lag_std_penalty,score_term_entropy_composite_parent_entropy_penalty,score_term_entropy_composite_margin_penalty,composite_soft_agreement_weight,composite_causal_lag_weight,composite_margin_penalty_weight,composite_causal_lag_std_penalty_weight,composite_parent_entropy_penalty_weight,score_primary_total,score_term_primary_causal_lag,score_term_primary_soft_tiebreak,score_term_primary_skeleton_tiebreak,score_term_primary_density_tiebreak,primary_causal_lag_weight,primary_soft_tiebreak_weight,primary_skeleton_tiebreak_weight,primary_density_tiebreak_weight,selection_causal_lag_delta_mean,selection_causal_lag_delta_std,selection_parent_entropy_mean,high_conf_edges,k,guardrail_pass,guardrail_reason,guardrail_density_ratio,guardrail_required_skeleton_overlap,guardrail_peak_skeleton_overlap,adj_offdiag_mean,adj_offdiag_std,adj_offdiag_cv,adj_offdiag_min,adj_offdiag_max,adj_in_degree_mean,adj_in_degree_std,adj_parent_entropy_mean,adj_eff_parents_mean,adj_eff_parents_p90,adj_ungated_asym_mean,adj_ungated_asym_median,adj_ungated_asym_p90,dir_active_pair_frac,dir_prior_q_threshold,dir_active_reliability_mean,dir_active_reliability_median,dir_active_reliability_p10,dir_active_abs_margin_mean,dir_active_abs_margin_median,dir_active_abs_margin_p90,dir_active_abs_margin_near0_frac,dir_active_signed_raw_mean,dir_active_signed_raw_median,dir_active_signed_raw_p10,dir_active_signed_raw_frac_pos,dir_active_signed_gate_mean,dir_active_signed_gate_median,dir_active_signed_gate_p10,dir_active_signed_gate_frac_pos,noise_probe_available,noise_probe_timestep,noise_probe_patel_loss,noise_probe_blend50_loss,noise_probe_learned_loss,noise_probe_delta_blend50_minus_patel,noise_probe_delta_learned_minus_patel,noise_probe_ratio_blend50_over_patel,noise_probe_ratio_learned_over_patel,noise_probe_guide_l1_mean,msg_dir_mode_is_causal,msg_dir_raw_diag_mean,msg_dir_raw_offdiag_mean,msg_dir_raw_diag_gap,msg_dir_causal_diag_mean,msg_dir_causal_offdiag_mean,msg_dir_causal_diag_gap,msg_dir_active_diag_gap,msg_dir_gap_delta_causal_minus_raw,msg_dir_prefers_causal,directional_kappa_gate_enabled,directional_kappa_gate_quantile,directional_kappa_gate_threshold,directional_kappa_gate_pair_frac,main_loss_weight,training_noise_guide_mode,training_noise_guide_active,training_noise_guide_blend_weight,training_noise_guide_blend_target,training_noise_guide_warmup_epochs,training_noise_guide_ramp_epochs,training_noise_guide_guide_l1_mean,directional_loss_active,directional_loss_end_epoch,directional_loss_deactivated_from_epoch,dir_loss_raw,dir_loss_weighted,dir_lambda_current,direction_lr_multiplier,direction_lr_current,direction_branch_frozen,freeze_direction_after_epoch,direction_branch_frozen_from_epoch,gradient_routing_mode,gradient_routing_label,routing_main_updates_support,routing_main_updates_direction,routing_structure_updates_support,routing_structure_updates_direction,routing_causal_lag_updates_support,routing_causal_lag_updates_direction,detach_direction_from_main_active,detach_direction_from_main_after_epoch,direction_from_main_detached_from_epoch,causal_lag_main_raw,causal_lag_main_weight,causal_lag_main_weighted,ortho_loss_raw,ortho_loss_weighted,parent_entropy_raw,parent_entropy_weighted,parent_entropy_lambda_current,parent_cap_raw,parent_cap_weighted,parent_cap_lambda_current,parent_cap_target,ungated_symmetry_raw,ungated_symmetry_weighted,ungated_symmetry_lambda_current,gradient_alignment_probe_enabled,gradient_alignment_probe_seed,selector_audit_enabled,grad_probe_available,grad_probe_lambda_dir,grad_probe_diff_norm,grad_probe_dir_norm_raw,grad_probe_dir_norm_weighted,grad_probe_dir_to_diff_norm_ratio,grad_probe_cosine,grad_probe_cosine_negative,causal_lag_diag_available,causal_lag_diag_forward_loss,causal_lag_diag_reverse_loss,causal_lag_diag_reverse_minus_forward,causal_lag_diag_forward_over_reverse,causal_lag_diag_prefers_forward,causal_lag_diag_num_lags,selection_causal_lag_subject_count,selection_causal_lag_forward_mean,selection_causal_lag_forward_std,selection_causal_lag_reverse_mean,selection_causal_lag_reverse_std,selection_causal_lag_delta_min,selection_causal_lag_delta_max,selection_causal_lag_prefers_forward_frac,selection_causal_lag_num_lags,selector_audit_precision,selector_audit_recall,selector_audit_f1,selector_audit_tie_count,selector_audit_margin_mean,selector_audit_margin_median,selector_audit_margin_std,selector_audit_margin_p90,selector_audit_margin_max,selector_audit_margin_lt_1e3_frac,selector_audit_margin_lt_1e2_frac,selector_audit_gt_signed_margin_mean,selector_audit_gt_signed_margin_median,selector_audit_gt_signed_margin_p10,selector_audit_gt_signed_margin_p90,selector_audit_gt_signed_margin_frac_pos,selector_audit_failure_mode,selector_audit_strict_precision_eps_0,selector_audit_strict_recall_eps_0,selector_audit_strict_f1_eps_0,selector_audit_strict_pred_count_eps_0,selector_audit_strict_precision_eps_0p0003,selector_audit_strict_recall_eps_0p0003,selector_audit_strict_f1_eps_0p0003,selector_audit_strict_pred_count_eps_0p0003,selector_audit_strict_precision_eps_0p1,selector_audit_strict_recall_eps_0p1,selector_audit_strict_f1_eps_0p1,selector_audit_strict_pred_count_eps_0p1
1,0.921759,0,legacy,1.000000,0.750000,1.000000,hard_coverage,0.750000,0.250000,0.500000,0.377266,0.906773,0.994465,1.000000,0.900000,1.000000,0,0.377266,0.987010,0.000000,0.921759,0.350000,0.187500,0.198893,0.136016,0.049351,0.181137,0.200000,0.000000,0.018863,0.181137,0.200000,0.000000,0.000000,0.000000,0.018863,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.950255,5,10,0,before_selection_start,0.900000,0.500000,0.000000,0.478003,0.222601,0.465691,0.064815,0.919956,1.912012,0.675844,0.950255,3.737682,3.922796,0.000000,0.000000,0.000000,0.400000,0.151751,1.000000,1.000000,1.000000,2.285035,1.683837,5.110954,0.000000,2.285035,1.683837,0.725419,1.000000,0.689652,0.686824,0.347598,1.000000,1.000000,500.000000,0.105015,0.121773,0.105321,0.016758,0.000306,1.159575,1.002913,0.076465,0.000000,0.101755,0.167170,-0.065415,0.089161,0.146931,-0.057771,-0.065415,0.007644,1.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.085730,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.125924,0.000000,0.950255,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,0.533333,0.000000,0.377266,0.359652,0.235937,0.620741,0.855141,0.000000,0.100000,0.415367,0.577180,-0.047022,0.750963,0.800000,mixed_or_partial,0.400000,0.800000,0.533333,10.000000,0.400000,0.800000,0.533333,10.000000,0.444444,0.800000,0.571429,9.000000
2,0.922314,0,legacy,1.000000,0.750000,1.000000,hard_coverage,0.750000,0.250000,0.500000,0.382172,0.910200,0.994465,1.000000,0.900000,1.000000,0,0.382172,0.987828,0.000000,0.922314,0.350000,0.187500,0.198893,0.136530,0.049391,0.180891,0.200000,0.000000,0.019109,0.180891,0.200000,0.000000,0.000000,0.000000,0.019109,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.948302,5,10,0,before_selection_start,0.900000,0.500000,0.000000,0.468856,0.223962,0.477677,0.062674,0.914933,1.875423,0.680498,0.948302,3.727603,3.917224,0.000000,0.000000,0.000000,0.400000,0.151751,1.000000,1.000000,1.000000,2.300586,1.703696,5.080490,0.000000,2.300586,1.703696,0.769184,1.000000,0.696877,0.692034,0.366689,1.000000,1.000000,500.000000,0.058897,0.055872,0.066940,-0.003026,0.008042,0.948624,1.136548,0.078755,0.000000,0.126396,0.205721,-0.079326,0.110569,0.189472,-0.078903,-0.079326,0.000423,1.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.083653,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.123573,0.000000,0.948302,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,0.533333,0.000000,0.382172,0.368114,0.232731,0.622336,0.852259,0.000000,0.000000,0.414120,0.577641,-0.051668,0.750071,0.800000,mixed_or_partial,0.400000,0.800000,0.533333,10.000000,0.400000,0.800000,0.533333,10.000000,0.444444,0.800000,0.571429,9.000000
3,0.922721,0,legacy,1.000000,0.750000,1.000000,hard_coverage,0.750000,0.250000,0.500000,0.385886,0.912714,0.994465,1.000000,0.900000,1.000000,0,0.385886,0.988412,0.000000,0.922721,0.350000,0.187500,0.198893,0.136907,0.049421,0.180706,0.200000,0.000000,0.019294,0.180706,0.200000,0.000000,0.000000,0.000000,0.019294,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.947348,5,10,0,before_selection_start,0.900000,0.500000,0.000000,0.462279,0.224429,0.485483,0.061983,0.909399,1.849115,0.682873,0.947348,3.722551,3.913962,0.000000,0.000000,0.000000,0.400000,0.151751,1.000000,1.000000,1.000000,2.298938,1.695770,5.023219,0.000000,2.298938,1.695770,0.811257,1.000000,0.701298,0.689963,0.384755,1.000000,1.000000,500.000000,0.021538,0.029335,0.030230,0.007797,0.008692,1.361996,1.403581,0.080469,0.000000,0.259089,0.318114,-0.059025,0.241919,0.308914,-0.066995,-0.059025,-0.007970,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.080682,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.122321,0.000000,0.947348,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,0.533333,0.000000,0.385886,0.375508,0.227984,0.621836,0.847416,0.000000,0.000000,0.412065,0.574513,-0.054288,0.747158,0.800000,mixed_or_partial,0.400000,0.800000,0.533333,10.000000,0.400000,0.800000,0.533333,10.000000,0.444444,0.800000,0.571429,9.000000
4,0.923052,0,legacy,1.000000,0.750000,1.000000,hard_coverage,0.750000,0.250000,0.500000,0.388999,0.914769,0.994465,1.000000,0.900000,1.000000,0,0.388999,0.988881,0.000000,0.923052,0.350000,0.187500,0.198893,0.137215,0.049444,0.180550,0.200000,0.000000,0.019450,0.180550,0.200000,0.000000,0.000000,0.000000,0.019450,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.946935,5,10,0,before_selection_start,0.900000,0.500000,0.000000,0.457620,0.224482,0.490543,0.062358,0.903499,1.830478,0.683935,0.946935,3.720239,3.911984,0.000000,0.000000,0.000000,0.400000,0.151751,1.000000,1.000000,1.000000,2.287592,1.673514,4.947196,0.000000,2.287592,1.673514,0.847397,1.000000,0.704031,0.684088,0.400042,1.000000,1.000000,500.000000,0.012970,0.022424,0.015119,0.009455,0.002149,1.729005,1.165722,0.081621,0.000000,0.265726,0.338958,-0.073232,0.244133,0.320975,-0.076842,-0.073232,-0.003610,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.078464,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.121999,0.000000,0.946935,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,0.533333,0.000000,0.388999,0.376423,0.222534,0.619995,0.841141,0.000000,0.000000,0.409747,0.570360,-0.055565,0.742854,0.800000,mixed_or_partial,0.400000,0.800000,0.533333,10.000000,0.400000,0.800000,0.533333,10.000000,0.444444,0.800000,0.571429,9.000000
5,0.923356,0,legacy,1.000000,0.750000,1.000000,hard_coverage,0.750000,0.250000,0.500000,0.391918,0.916655,0.994465,1.000000,0.900000,1.000000,0,0.391918,0.989303,0.000000,0.923356,0.350000,0.187500,0.198893,0.137498,0.049465,0.180404,0.200000,0.000000,0.019596,0.180404,0.200000,0.000000,0.000000,0.000000,0.019596,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.946799,5,10,0,before_selection_start,0.900000,0.500000,0.000000,0.453942,0.224413,0.494365,0.063378,0.897318,1.815770,0.684739,0.946799,3.719332,3.910707,0.000000,0.000000,0.000000,0.400000,0.151751,1.000000,1.000000,1.000000,2.272403,1.647269,4.860942,0.000000,2.272403,1.647269,0.881116,1.000000,0.706066,0.677043,0.414107,1.000000,1.000000,500.000000,0.008338,0.009023,0.006383,0.000685,-0.001955,1.082157,0.765553,0.082511,0.000000,0.295259,0.358152,-0.062893,0.292337,0.368893,-0.076556,-0.062893,-0.013662,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.076297,0.000000,0.000000,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.122228,0.000000,0.946799,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,0.533333,0.000000,0.391918,0.376389,0.216789,0.617391,0.833940,0.000000,0.000000,0.407334,0.566319,-0.056285,0.737696,0.800000,mixed_or_partial,0.400000,0.800000,0.533333,10.000000,0.400000,0.800000,0.533333,10.000000,0.444444,0.800000,0.571429,9.000000
6,0.923616,1,legacy,1.000000,0.750000,1.000000,hard_coverage,0.750000,0.250000,0.500000,0.394462,0.918265,0.994465,1.000000,0.900000,1.000000,0,0.394462,0.989658,0.000000,0.923616,0.350000,0.187500,0.198893,0.137740,0.049483,0.180277,0.200000,0.000000,0.019723,0.180277,0.200000,0.000000,0.000000,0.000000,0.019723,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.946823,5,10,1,pass,0.900000,0.500000,0.000000,0.451443,0.224276,0.496798,0.065096,0.890936,1.805774,0.685017,0.946823,3.719269,3.910243,0.000000,0.000000,0.000000,0.400000,0.151751,1.000000,1.000000,1.000000,2.253432,1.620439,4.764911,0.000000,2.253432,1.620439,0.907080,1.000000,0.707084,0.669711,0.424805,1.000000,1.000000,500.000000,0.003242,0.003760,0.005303,0.000518,0.002061,1.159923,1.635883,0.083234,0.000000,0.283997,0.345080,-0.061083,0.284759,0.358985,-0.074226,-0.061083,-0.013143,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.074591,0.000014,0.000260,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.123147,0.000007,0.946823,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000260,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,0.533333,0.000000,0.394462,0.376513,0.211340,0.614311,0.825839,0.000000,0.000000,0.404852,0.563324,-0.057077,0.731827,0.800000,mixed_or_partial,0.400000,0.800000,0.533333,10.000000,0.400000,0.800000,0.533333,10.000000,0.444444,0.800000,0.571429,9.000000
7,0.923865,1,legacy,1.000000,0.750000,1.000000,hard_coverage,0.750000,0.250000,0.500000,0.396954,0.919814,0.994465,1.000000,0.900000,1.000000,0,0.396954,0.989994,0.000000,0.923865,0.350000,0.187500,0.198893,0.137972,0.049500,0.180152,0.200000,0.000000,0.019848,0.180152,0.200000,0.000000,0.000000,0.000000,0.019848,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.946782,5,10,1,pass,0.900000,0.850000,1.000000,0.449259,0.224224,0.499097,0.067128,0.884737,1.797036,0.685189,0.946782,3.718903,3.909809,0.000000,0.000000,0.000000,0.400000,0.151751,1.000000,1.000000,1.000000,2.234195,1.592056,4.669738,0.000000,2.234195,1.592056,0.932686,1.000000,0.707863,0.661810,0.435240,1.000000,1.000000,500.000000,0.002694,0.003063,0.001785,0.000370,-0.000909,1.137271,0.662623,0.083917,0.000000,0.295690,0.358205,-0.062515,0.294313,0.370304,-0.075990,-0.062515,-0.013475,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.072837,0.000031,0.000443,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.124340,0.000016,0.946782,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000443,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,0.533333,0.000000,0.396954,0.376757,0.206104,0.611262,0.817609,0.000000,0.000000,0.402330,0.560448,-0.058076,0.725899,0.800000,mixed_or_partial,0.400000,0.800000,0.533333,10.000000,0.400000,0.800000,0.533333,10.000000,0.444444,0.800000,0.571429,9.000000
8,0.924094,1,legacy,1.000000,0.750000,1.000000,hard_coverage,0.750000,0.250000,0.500000,0.399294,0.921243,0.994465,1.000000,0.900000,1.000000,0,0.399294,0.990300,0.000000,0.924094,0.350000,0.187500,0.198893,0.138186,0.049515,0.180035,0.200000,0.000000,0.019965,0.180035,0.200000,0.000000,0.000000,0.000000,0.019965,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.946675,5,10,1,pass,0.900000,0.850000,1.000000,0.447214,0.224251,0.501439,0.069344,0.878883,1.788855,0.685287,0.946675,3.718228,3.909264,0.000000,0.000000,0.000000,0.400000,0.151751,1.000000,1.000000,1.000000,2.215429,1.561152,4.578705,0.000000,2.215429,1.561152,0.960806,1.000000,0.708518,0.653037,0.446566,1.000000,1.000000,500.000000,0.001231,0.001071,0.001035,-0.000160,-0.000196,0.870001,0.841134,0.084648,0.000000,0.255864,0.315445,-0.059581,0.244304,0.314332,-0.070028,-0.059581,-0.010447,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.070453,0.000037,0.000513,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.125671,0.000018,0.946675,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000513,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,0.533333,0.000000,0.399294,0.376812,0.201202,0.608339,0.809539,0.000000,0.000000,0.399855,0.557536,-0.059111,0.720117,0.800000,mixed_or_partial,0.400000,0.800000,0.533333,10.000000,0.400000,0.800000,0.533333,10.000000,0.444444,0.800000,0.571429,9.000000
9,0.924290,1,legacy,1.000000,0.750000,1.000000,hard_coverage,0.750000,0.250000,0.500000,0.401319,0.922459,0.994465,1.000000,0.900000,1.000000,0,0.401319,0.990557,0.000000,0.924290,0.350000,0.187500,0.198893,0.138369,0.049528,0.179934,0.200000,0.000000,0.020066,0.179934,0.200000,0.000000,0.000000,0.000000,0.020066,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.946450,5,10,1,pass,0.900000,0.850000,1.000000,0.445240,0.224288,0.503747,0.071762,0.873427,1.780960,0.684960,0.946450,3.716989,3.908543,0.000000,0.000000,0.000000,0.400000,0.151751,1.000000,1.000000,1.000000,2.195958,1.526937,4.491546,0.000000,2.195958,1.526937,0.988404,1.000000,0.708687,0.643116,0.457545,1.000000,1.000000,500.000000,0.001703,0.001281,0.000971,-0.000422,-0.000732,0.752231,0.570035,0.085396,0.000000,0.218060,0.260029,-0.041969,0.214869,0.265824,-0.050955,-0.041969,-0.008985,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.067862,0.000032,0.000447,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.127203,0.000016,0.946450,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000447,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,0.533333,0.000000,0.401319,0.376225,0.196655,0.605676,0.801666,0.000000,0.000000,0.397474,0.554236,-0.059900,0.714559,0.800000,mixed_or_partial,0.400000,0.800000,0.533333,10.000000,0.400000,0.800000,0.533333,10.000000,0.444444,0.800000,0.571429,9.000000
10,0.924462,1,legacy,1.000000,0.750000,1.000000,hard_coverage,0.750000,0.250000,0.500000,0.403130,0.923532,0.994465,1.000000,0.900000,1.000000,0,0.403130,0.990782,0.000000,0.924462,0.350000,0.187500,0.198893,0.138530,0.049539,0.179843,0.200000,0.000000,0.020157,0.179843,0.200000,0.000000,0.000000,0.000000,0.020157,0.200000,1.000000,0.050000,0.000000,0.000000,0.050000,0.000000,0.025000,0.025000,0.000000,1.000000,0.050000,0.050000,0.000000,0.000000,0.000000,0.946116,5,10,1,pass,0.900000,0.850000,1.000000,0.443199,0.224428,0.506382,0.074194,0.868436,1.772797,0.684771,0.946116,3.715224,3.907498,0.000000,0.000000,0.000000,0.400000,0.151751,1.000000,1.000000,1.000000,2.177692,1.494423,4.411180,0.000000,2.177692,1.494423,1.011922,1.000000,0.708605,0.633482,0.466792,1.000000,1.000000,500.000000,0.000647,0.000681,0.000697,0.000034,0.000050,1.052402,1.077981,0.086190,0.000000,0.203930,0.237121,-0.033191,0.212845,0.250604,-0.037759,-0.033191,-0.004567,0.000000,0,0.500000,0.000000,0.000000,1.000000,fixed_patel,0.000000,0.000000,0.500000,5,5,0.000000,1,-1,-1,0.065945,0.000021,0.000279,1.000000,0.000000,0,-1,-1,legacy,shared_parameters,1,1,1,1,1,1,0,-1,-1,0.000000,0.000000,0.000000,0.128709,0.000010,0.946116,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,0,1,0.000000,0.000279,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,0.400000,0.800000,0.533333,0.000000,0.403130,0.375326,0.192602,0.603195,0.794242,0.000000,0.000000,0.395479,0.551177,-0.060058,0.709332,0.800000,mixed_or_partial,0.400000,0.800000,0.533333,10.000000,0.400000,0.800000,0.533333,10.000000,0.444444,0.800000,0.571429,9.000000
